p243752	v729
p61864	v188
p133254	v1752
p153995	v1922
p98197	v1459
p279566	v370
p71681	v341
p909	v20
p10405	v188
p76945	v1232
p258733	v2072
p217358	v1986
p65549	v1100
p137581	v491
p185997	v283
p47685	v846
p34321	v641
p45428	v814
p145176	v523
p18416	v423
p128320	v1723
p49621	v885
p274753	v309
p98721	v1466
p127780	v1722
p180429	v219
p247128	v1723
p229029	v268
p115274	v422
p261442	v2474
p29398	v189
p85443	v1344
p38832	v714
p32795	v345
p64018	v1096
p47983	v857
p193542	v1161
p138447	v1791
p45599	v819
p56826	v1026
p246938	v1723
p758	v20
p26361	v526
p141328	v87
p185505	v281
p257509	v1044
p285085	v2529
p75195	v1226
p280614	v2136
p229392	v2112
p172198	v2088
p47357	v838
p117371	v20
p19728	v453
p279834	v1182
p25788	v516
p51353	v921
p185680	v282
p209626	v2299
p278	v14
p61306	v188
p282451	v1195
p260781	v2473
p36646	v674
p96047	v1454
p211225	v886
p53764	v981
p204033	v1309
p227820	v248
p18413	v423
p79388	v1234
p156729	v1946
p7945	v131
p237048	v2383
p189903	v606
p64598	v1096
p260979	v2474
p94655	v1323
p21316	v462
p143174	v516
p265079	v188
p211985	v511
p19532	v447
p220917	v182
p223500	v199
p275003	v311
p2644	v52
p261758	v2474
p134176	v1755
p113356	v1579
p15813	v345
p57179	v488
p216697	v1986
p198487	v2146
p11080	v188
p205400	v463
p24773	v495
p45679	v819
p209180	v2296
p73530	v370
p159779	v1980
p18676	v425
p42572	v784
p249616	v1441
p24806	v497
p222151	v188
p19873	v455
p201047	v2186
p47509	v841
p168398	v564
p4402	v78
p263097	v170
p237762	v621
p87585	v1382
p79596	v1234
p200721	v2177
p178498	v201
p216962	v1986
p73350	v1173
p229570	v1133
p139219	v883
p174918	v188
p260353	v2473
p140174	v498
p72034	v345
p176360	v188
p52721	v962
p97699	v1459
p8815	v165
p17873	v404
p140640	v1819
p181480	v234
p38206	v705
p236475	v1163
p259060	v2454
p251273	v1444
p144964	v522
p218293	v2334
p233132	v339
p10378	v188
p186676	v2114
p182131	v586
p56642	v1025
p110378	v334
p232310	v336
p101549	v1495
p269205	v578
p98577	v70
p93839	v1432
p2340	v47
p13358	v253
p218323	v2334
p220091	v2081
p212856	v2319
p196430	v387
p247945	v1723
p56337	v1024
p216960	v1986
p19778	v453
p158695	v1966
p37724	v698
p146262	v1868
p234253	v2363
p169847	v566
p282077	v2523
p22385	v469
p186946	v2116
p93455	v1429
p12489	v227
p230063	v1134
p180492	v221
p28105	v161
p199218	v2163
p23272	v480
p85621	v1345
p226519	v1103
p86262	v1360
p113845	v1580
p39327	v719
p103161	v1506
p202756	v2277
p273937	v1143
p42441	v783
p161093	v1986
p276233	v334
p146216	v529
p37955	v700
p231002	v2360
p62213	v188
p128014	v798
p120182	v1311
p258247	v1399
p231233	v2360
p205526	v2289
p219308	v2338
p85865	v1348
p198182	v2142
p18050	v416
p3335	v58
p256317	v1011
p224961	v575
p155891	v1946
p5654	v94
p226817	v1104
p129568	v1726
p9783	v185
p82766	v1315
p102375	v1504
p33362	v616
p2783	v52
p269872	v578
p202010	v641
p224677	v1096
p116580	v1622
p210239	v867
p81319	v1296
p167777	v2078
p177925	v199
p123672	v1693
p86219	v1357
p102859	v566
p253234	v1874
p48871	v867
p181821	v238
p101741	v1497
p254669	v1907
p152879	v1907
p272330	v272
p25117	v505
p117738	v1626
p236971	v2383
p8319	v147
p191350	v343
p71412	v339
p278067	v616
p199728	v2168
p128604	v1723
p71458	v339
p84953	v1339
p226541	v2099
p122967	v1692
p152496	v1907
p183178	v257
p278640	v616
p63337	v203
p748	v20
p223639	v2349
p152377	v1907
p12675	v227
p206875	v1730
p157947	v1966
p116587	v1622
p202866	v665
p62606	v193
p204371	v2281
p166829	v2059
p133486	v1752
p149292	v1886
p257831	v1060
p258838	v2453
p216549	v1986
p17155	v403
p50953	v914
p285263	v2529
p141612	v87
p280017	v382
p153700	v1389
p193341	v615
p231783	v320
p219632	v157
p64747	v1096
p202876	v665
p210919	v2312
p104175	v188
p273648	v2360
p166038	v2055
p127744	v1722
p217564	v2071
p156123	v1946
p250098	v857
p48553	v865
p248593	v811
p23087	v476
p128094	v1723
p170699	v177
p217105	v1986
p243012	v2335
p83545	v1324
p79347	v1234
p42902	v785
p189126	v1146
p6437	v106
p232238	v1151
p99667	v1483
p284569	v2529
p63065	v1094
p36213	v667
p29259	v188
p208113	v2292
p260117	v2473
p22193	v468
p253314	v1874
p148111	v1886
p86328	v1361
p232191	v333
p95822	v1448
p118377	v1637
p279668	v1177
p123167	v1693
p205282	v775
p69140	v277
p67285	v240
p219247	v2335
p150024	v1890
p143599	v1843
p166529	v2056
p268942	v578
p131423	v1325
p147742	v1885
p119684	v719
p130520	v1728
p204104	v1312
p69025	v277
p6577	v108
p68912	v1133
p60970	v188
p108121	v272
p206106	v1730
p178521	v201
p224479	v1096
p253030	v1370
p229863	v279
p69675	v1139
p83197	v1321
p201134	v2187
p96420	v1429
p253094	v968
p166736	v2058
p132823	v1747
p79020	v1233
p248640	v811
p105623	v195
p259988	v2473
p64925	v210
p73062	v1163
p254682	v1907
p2956	v52
p3054	v52
p216473	v1986
p280307	v386
p27045	v542
p265196	v188
p204378	v2281
p45268	v812
p284414	v2529
p177263	v199
p75518	v1231
p19807	v453
p202369	v662
p179685	v210
p51667	v930
p115844	v1607
p271331	v587
p238077	v396
p122550	v43
p36887	v683
p205428	v463
p9558	v182
p115021	v655
p142424	v1836
p141868	v506
p70549	v1148
p70236	v313
p57378	v1046
p144748	v90
p13873	v279
p253258	v1874
p239444	v1226
p73419	v1173
p19054	v434
p118313	v1633
p171240	v179
p34346	v641
p71911	v343
p47630	v844
p199228	v2164
p175011	v188
p275398	v320
p3879	v67
p161669	v1993
p137488	v1778
p210760	v871
p13914	v282
p141585	v87
p98601	v1465
p253577	v972
p114401	v647
p26473	v528
p155036	v136
p85131	v1341
p118537	v435
p258942	v2453
p240201	v2176
p137694	v1782
p150960	v1896
p129492	v1726
p63233	v203
p183946	v269
p52705	v961
p83840	v1325
p111695	v380
p157738	v1966
p80709	v1287
p36123	v666
p43975	v795
p200318	v2174
p53062	v967
p193850	v2128
p110893	v1547
p164181	v2028
p25568	v511
p23658	v483
p82285	v1309
p32533	v337
p69391	v282
p34404	v641
p181549	v237
p256789	v1954
p229284	v591
p10700	v188
p256628	v2443
p256158	v122
p51785	v934
p162946	v2012
p47999	v857
p58406	v1064
p41936	v777
p253523	v972
p79673	v1234
p103214	v181
p46407	v829
p148855	v1887
p282529	v1199
p27303	v549
p227525	v238
p39130	v719
p142947	v931
p77439	v1232
p109480	v300
p262174	v2476
p223480	v199
p17202	v403
p207356	v2292
p29393	v188
p282382	v632
p229445	v1529
p77006	v1232
p18690	v425
p117615	v20
p151346	v119
p233586	v340
p227992	v1117
p235445	v611
p206438	v1730
p174962	v188
p272474	v275
p197737	v1576
p94930	v1437
p175277	v188
p47884	v857
p111989	v389
p161667	v1993
p225769	v216
p99073	v1472
p215167	v1020
p158970	v1966
p211295	v2313
p158652	v1966
p138489	v73
p153743	v1389
p105522	v193
p148615	v1887
p150908	v1896
p249954	v847
p218971	v2334
p121862	v1678
p260906	v2474
p97338	v1459
p45202	v812
p51235	v920
p122526	v38
p239652	v1576
p75981	v1232
p129376	v1726
p149689	v112
p184529	v1528
p165244	v2044
p41567	v462
p262354	v1949
p136614	v840
p59812	v566
p134633	v1760
p111388	v369
p188498	v2120
p64306	v1096
p188814	v1145
p176999	v198
p250423	v1466
p80257	v1234
p274072	v309
p173986	v188
p7299	v124
p212930	v1847
p226606	v227
p176616	v188
p288140	v2609
p25423	v509
p264744	v2494
p94630	v1323
p266654	v1511
p223581	v1094
p189251	v1148
p49987	v888
p74270	v1190
p13985	v283
p28240	v168
p73760	v1180
p210751	v871
p94758	v1323
p31218	v589
p151247	v987
p6000	v102
p91808	v1415
p191161	v342
p179788	v211
p221563	v188
p116528	v433
p93827	v1432
p117289	v19
p159439	v1065
p254032	v2437
p52271	v949
p93211	v1425
p24579	v491
p226576	v227
p202042	v641
p102089	v153
p30818	v579
p272085	v2109
p25728	v515
p63035	v1093
p14392	v300
p274961	v2119
p253399	v1874
p156059	v1946
p49835	v886
p214131	v1896
p5204	v88
p185713	v282
p83675	v1325
p277663	v361
p219033	v2334
p43771	v793
p175224	v188
p184056	v2109
p22209	v468
p262685	v2487
p87734	v1384
p230488	v290
p25538	v511
p42985	v787
p41297	v765
p110869	v1547
p58535	v1068
p75199	v1226
p105059	v188
p182541	v1117
p224025	v2350
p260454	v2473
p179088	v1096
p228278	v251
p44124	v797
p112635	v1570
p36719	v677
p195532	v2132
p195980	v1181
p155762	v1942
p153663	v1921
p271968	v589
p124371	v1697
p220243	v566
p207066	v1324
p267069	v1096
p188886	v322
p260601	v2473
p57340	v1044
p276193	v1149
p22074	v467
p277665	v363
p97107	v1458
p125964	v1714
p159655	v1977
p272231	v2509
p228392	v252
p184012	v2109
p234009	v2363
p11722	v200
p200227	v2173
p76696	v1232
p285602	v2531
p194613	v370
p115609	v1604
p237140	v1180
p267178	v1096
p58481	v1067
p118545	v435
p25398	v509
p102047	v1501
p26014	v518
p216397	v1986
p210839	v871
p268619	v578
p150127	v1891
p199997	v2170
p32765	v340
p288473	v2205
p247910	v1723
p146688	v1874
p150614	v1896
p115463	v1597
p49368	v877
p203511	v690
p122750	v759
p98918	v1470
p63549	v1096
p142592	v924
p178013	v199
p232185	v333
p203963	v1309
p50712	v904
p266572	v201
p162639	v2009
p72012	v345
p287096	v2567
p59272	v1081
p151299	v987
p153308	v125
p230369	v2114
p91468	v1415
p277280	v346
p99936	v145
p218928	v2334
p272459	v275
p84665	v1334
p203647	v1309
p7307	v125
p114703	v652
p230387	v2114
p52468	v955
p176877	v196
p11306	v188
p180049	v1097
p226933	v584
p262238	v2476
p139215	v883
p247642	v1723
p6296	v104
p80281	v1235
p91273	v1413
p164655	v2034
p36159	v666
p253929	v109
p128788	v1723
p101028	v1492
p87832	v1387
p126509	v784
p125420	v52
p134383	v1759
p259914	v2473
p241943	v2330
p32540	v337
p17307	v403
p244101	v42
p116783	v1303
p56203	v1024
p219238	v2335
p240238	v2177
p100283	v1488
p264183	v1579
p111624	v377
p254133	v2438
p234438	v2364
p210908	v2312
p256101	v2440
p116486	v1621
p245954	v480
p125890	v1713
p128345	v1723
p167326	v2070
p133825	v1752
p210291	v867
p171982	v183
p243507	v1645
p19389	v444
p35811	v659
p268721	v578
p155373	v1937
p6894	v112
p281353	v397
p222498	v188
p90020	v1402
p19621	v450
p109816	v305
p96777	v1429
p110913	v1548
p250398	v2391
p93305	v1426
p218390	v2334
p133297	v1752
p41832	v775
p59605	v170
p35413	v652
p140284	v894
p24352	v489
p135635	v68
p53498	v974
p170474	v1084
p200343	v2174
p243175	v698
p202585	v2277
p61367	v188
p52188	v945
p173730	v188
p38969	v715
p135335	v484
p126393	v784
p275002	v311
p28844	v569
p236604	v370
p218635	v2334
p248559	v810
p276964	v2122
p237160	v1181
p211139	v886
p213575	v1887
p170148	v1084
p139551	v1814
p281014	v397
p88053	v1390
p267431	v211
p172752	v187
p118190	v1630
p222617	v188
p41330	v766
p510	v19
p177730	v199
p227036	v1110
p279122	v1161
p231133	v2360
p61817	v188
p1340	v25
p145857	v1861
p94648	v1323
p54790	v1000
p112954	v416
p155717	v1940
p217106	v1986
p4084	v69
p202007	v641
p122730	v758
p61480	v188
p81903	v1304
p120895	v1663
p104459	v188
p218879	v2334
p113574	v643
p60075	v1084
p89109	v1392
p141221	v1446
p13532	v261
p18878	v429
p141477	v87
p227499	v238
p235994	v1160
p143160	v516
p47277	v837
p111886	v389
p194922	v372
p70486	v1148
p282690	v2137
p5606	v93
p117607	v20
p56295	v1024
p139129	v1808
p141507	v87
p216865	v1986
p107466	v265
p104259	v188
p200590	v2176
p19920	v457
p242237	v423
p111444	v1554
p283423	v2168
p202177	v2275
p3227	v56
p78469	v1232
p220404	v566
p278484	v616
p277697	v365
p257940	v1076
p125119	v52
p474	v19
p218256	v2334
p266158	v2090
p53522	v975
p275092	v2513
p74439	v1195
p220891	v182
p167936	v2078
p20476	v460
p89749	v1399
p7309	v125
p40442	v748
p140849	v1821
p127701	v1721
p64191	v1096
p96735	v1429
p203909	v1309
p160036	v1986
p229882	v279
p124566	v1697
p171167	v2084
p3546	v60
p61244	v188
p146468	v1474
p185467	v280
p243248	v1640
p241338	v2392
p131893	v805
p33269	v612
p22971	v477
p210360	v867
p25561	v511
p84324	v1328
p133178	v1752
p177246	v199
p267695	v578
p153805	v1922
p58614	v1069
p82508	v1310
p39277	v719
p81408	v1298
p126550	v785
p285744	v2531
p274345	v309
p273067	v1136
p205403	v463
p83245	v1322
p277525	v2517
p36168	v666
p93863	v1432
p15159	v322
p263703	v1084
p218937	v2334
p145195	v523
p176433	v188
p69793	v301
p116117	v1615
p241658	v2314
p16282	v357
p117351	v19
p59537	v166
p247440	v1723
p164713	v2034
p26246	v523
p177874	v199
p259322	v2461
p141711	v504
p175137	v188
p139951	v892
p138621	v1795
p284658	v2529
p62732	v193
p131029	v1325
p16100	v345
p162284	v2002
p30143	v578
p5596	v92
p70221	v603
p257986	v1076
p224764	v1096
p165324	v2045
p154744	v1928
p231294	v2360
p227058	v231
p45366	v814
p43310	v789
p223726	v2349
p190101	v340
p25077	v503
p204379	v2281
p31873	v285
p89332	v1392
p108382	v1531
p35177	v651
p77432	v1232
p223321	v2091
p244843	v51
p110419	v334
p153096	v1911
p220853	v181
p191153	v342
p282722	v2137
p74348	v1192
p40650	v753
p125446	v52
p93626	v1430
p108041	v1529
p121537	v739
p153960	v1922
p175575	v188
p220651	v177
p67438	v243
p183735	v265
p146984	v104
p52630	v959
p195454	v2132
p138211	v864
p78986	v1232
p110252	v1543
p30003	v578
p22284	v469
p230770	v2360
p12717	v230
p236341	v2379
p210110	v2307
p255476	v1907
p205570	v778
p83581	v1324
p243974	v748
p17148	v403
p261385	v2474
p218138	v2334
p226931	v1108
p194275	v1552
p101764	v1497
p18296	v423
p251505	v917
p4045	v69
p56084	v1022
p126737	v785
p241378	v2392
p266344	v198
p35083	v650
p29187	v188
p219374	v2339
p211692	v2316
p255086	v1907
p35129	v650
p222580	v188
p54803	v1000
p1960	v38
p14937	v309
p168071	v2078
p149106	v1886
p279872	v1183
p221433	v188
p151252	v987
p181651	v238
p117226	v19
p58380	v1063
p39451	v723
p278344	v616
p45425	v814
p85334	v73
p47456	v839
p235083	v350
p7356	v126
p132018	v478
p119045	v710
p196560	v621
p25877	v516
p51783	v934
p77986	v1232
p70908	v336
p130813	v1325
p166956	v2061
p189147	v328
p205202	v769
p216662	v1986
p141549	v87
p251803	v920
p74382	v1193
p276784	v340
p50084	v890
p275549	v2514
p30036	v578
p140025	v892
p206061	v1726
p38140	v704
p4619	v82
p94902	v1437
p99187	v1474
p26844	v537
p288065	v2604
p40372	v746
p43694	v793
p56888	v1030
p266895	v1096
p104699	v188
p16338	v359
p112767	v1574
p60394	v177
p164253	v2030
p31888	v287
p229195	v270
p245403	v1717
p92488	v1415
p268788	v578
p108921	v289
p152943	v1909
p146522	v1874
p158557	v1966
p33511	v370
p54267	v987
p193025	v365
p39933	v737
p128843	v1723
p280301	v386
p4682	v84
p20699	v462
p267224	v206
p47202	v835
p219207	v2335
p151407	v1898
p267278	v2094
p72367	v1159
p274845	v2119
p245162	v781
p57081	v1036
p255547	v1907
p49308	v876
p71187	v339
p63991	v1096
p258636	v2009
p231258	v2360
p158637	v1966
p28720	v177
p237593	v2386
p140600	v1819
p205768	v796
p236808	v2382
p128175	v1723
p236600	v370
p130655	v1324
p198162	v2142
p172586	v187
p187854	v307
p274064	v309
p99279	v1475
p44749	v805
p242036	v2397
p267819	v578
p145729	v955
p261092	v2474
p44490	v799
p240012	v2157
p242679	v2398
p90585	v1409
p217737	v2333
p173672	v188
p20059	v458
p252153	v91
p208896	v2296
p155274	v1935
p77267	v1232
p40710	v753
p59306	v1081
p64549	v1096
p164860	v2039
p85588	v1345
p276249	v1151
p288286	v2615
p199863	v2169
p79214	v1234
p238652	v1191
p244544	v766
p16686	v378
p46688	v829
p27106	v298
p183907	v269
p40177	v742
p272229	v2509
p114512	v6
p183676	v1125
p129395	v1726
p256241	v122
p193619	v1161
p83551	v1324
p85648	v1346
p91305	v1413
p192360	v2124
p167674	v2075
p192518	v349
p181282	v2100
p134	v7
p6103	v103
p173602	v188
p29237	v188
p200822	v2179
p263818	v177
p188458	v2120
p110499	v335
p8691	v158
p136170	v1766
p85597	v1345
p175605	v188
p101941	v1500
p190278	v2122
p122701	v1687
p86321	v1362
p265272	v188
p137516	v1778
p34204	v634
p31695	v282
p232788	v339
p242234	v423
p223012	v188
p1940	v37
p144377	v1843
p133371	v1752
p175218	v188
p232203	v334
p199132	v557
p246918	v1723
p204630	v2283
p260883	v2473
p260446	v2473
p163456	v2014
p247123	v1723
p53817	v982
p171680	v182
p227387	v235
p153838	v1922
p240464	v2187
p250296	v2389
p65459	v216
p66422	v1110
p3124	v53
p244523	v1430
p168202	v2078
p204092	v1312
p248226	v2409
p280457	v2135
p26107	v519
p69837	v302
p6416	v106
p263964	v2491
p98611	v1465
p120436	v1655
p113626	v1580
p252498	v2429
p2475	v49
p27768	v561
p18662	v425
p1376	v26
p97442	v1459
p171514	v2087
p106209	v207
p161716	v1993
p277656	v2370
p91140	v1413
p230931	v2360
p31370	v593
p128243	v1723
p185033	v593
p102460	v168
p152077	v1907
p275871	v330
p221243	v188
p185441	v280
p100215	v1487
p220037	v170
p201924	v2268
p183409	v1122
p242862	v680
p243396	v707
p20541	v460
p60695	v185
p21688	v462
p46044	v822
p117604	v20
p242336	v1299
p264383	v1507
p80457	v1245
p140377	v894
p153121	v1911
p143087	v516
p144988	v1849
p76030	v1232
p164902	v2040
p119692	v719
p286484	v2549
p237814	v621
p171003	v2083
p272006	v589
p70432	v326
p106778	v242
p86122	v1354
p275330	v317
p280030	v382
p110436	v334
p25080	v503
p271066	v248
p227674	v243
p95944	v1452
p93634	v1430
p52665	v960
p128714	v1723
p52617	v958
p94069	v1434
p261102	v2474
p192632	v1157
p221365	v188
p173208	v188
p63651	v1096
p159877	v1980
p258934	v2453
p79019	v1233
p14110	v288
p12874	v238
p22615	v472
p235953	v2126
p240091	v2162
p174901	v188
p40227	v743
p213507	v1887
p240055	v2160
p107579	v589
p242784	v677
p99959	v1486
p85406	v77
p226601	v227
p194277	v1552
p55704	v1016
p173690	v188
p140006	v892
p268398	v578
p182715	v251
p204440	v2281
p31469	v595
p37216	v689
p246068	v1434
p164586	v2031
p151844	v1904
p251944	v2423
p219657	v159
p168934	v170
p92194	v1415
p58443	v1066
p9194	v173
p192298	v2123
p69287	v595
p243940	v742
p117577	v20
p177323	v199
p56587	v1024
p228638	v1121
p163580	v2014
p261197	v2474
p58515	v1068
p92803	v1419
p104167	v188
p279398	v1163
p259088	v2455
p64364	v1096
p136761	v1768
p107983	v1129
p252410	v954
p7197	v122
p27260	v548
p41113	v759
p74837	v1210
p113133	v1579
p271756	v2507
p259432	v2464
p255330	v1907
p69464	v1134
p31138	v268
p255797	v1907
p248841	v2347
p7790	v131
p153172	v124
p236281	v2379
p154762	v135
p194905	v372
p237748	v621
p144702	v90
p233540	v339
p267336	v209
p240793	v2389
p258693	v2072
p238136	v399
p86734	v1367
p45244	v812
p137826	v1784
p278020	v615
p158938	v1966
p172444	v186
p267689	v578
p252969	v531
p37022	v686
p111215	v357
p148042	v1886
p184044	v2109
p147431	v1881
p180812	v2099
p182392	v1115
p242581	v672
p54226	v987
p50962	v914
p207575	v2292
p75643	v1231
p95838	v1448
p160201	v1986
p155361	v1937
p135040	v1763
p258048	v2448
p234760	v345
p26259	v523
p248947	v820
p129920	v1727
p78377	v1232
p134656	v1760
p80343	v1235
p114437	v1586
p7436	v127
p187427	v299
p149129	v1886
p91347	v1413
p144619	v519
p131378	v1325
p183903	v269
p11114	v188
p71426	v339
p14134	v289
p265190	v188
p220885	v2086
p195836	v1180
p38242	v706
p234380	v2364
p273750	v302
p100171	v1422
p66339	v1110
p214091	v1896
p201793	v2226
p273415	v295
p166464	v2056
p239785	v2144
p118757	v437
p119232	v714
p261287	v2474
p159177	v1037
p169532	v566
p240978	v2275
p251738	v919
p192319	v2123
p108701	v285
p130323	v1728
p143836	v1843
p276474	v606
p16179	v350
p59469	v158
p117017	v1625
p245047	v780
p79488	v1234
p45945	v820
p175653	v188
p15161	v322
p11973	v204
p66462	v232
p7203	v122
p131728	v1733
p133128	v1752
p1017	v20
p262797	v160
p128359	v1723
p86967	v1372
p245895	v480
p262405	v2480
p269653	v578
p35822	v659
p86465	v1362
p272995	v1538
p55100	v1006
p197677	v1574
p167675	v2075
p188019	v2119
p238912	v1203
p248499	v2410
p72389	v1159
p61777	v188
p40304	v745
p27647	v559
p59940	v566
p203333	v690
p183154	v256
p10125	v188
p132908	v1748
p73634	v1177
p163517	v2014
p170588	v1084
p80484	v1247
p45216	v812
p281316	v397
p262767	v1083
p85436	v1344
p93255	v1426
p265842	v188
p104060	v188
p96806	v1429
p252545	v957
p166450	v2056
p179887	v2095
p192080	v346
p178786	v1096
p185131	v277
p82477	v1309
p110965	v1548
p23228	v479
p136702	v488
p103789	v188
p68149	v267
p242713	v2398
p128992	v1723
p13271	v251
p2432	v49
p43671	v793
p50683	v903
p13613	v266
p254227	v1379
p255820	v1907
p120604	v1660
p18099	v418
p226052	v220
p67350	v243
p287467	v2579
p157827	v1966
p193287	v615
p52330	v951
p6169	v104
p189959	v338
p275569	v2514
p63434	v1096
p126349	v784
p258553	v2009
p57628	v1050
p266795	v1511
p218118	v2334
p18437	v424
p222071	v188
p218095	v2334
p35214	v651
p3480	v58
p140079	v892
p22953	v477
p101718	v1497
p64153	v1096
p274608	v309
p69114	v277
p29947	v578
p89785	v1400
p84776	v1335
p37077	v688
p120242	v1652
p18339	v423
p53798	v981
p55309	v1012
p21514	v462
p281907	v2523
p203893	v1309
p179150	v1096
p47149	v834
p285275	v2529
p270459	v227
p159519	v1074
p52609	v958
p39080	v719
p31129	v266
p68183	v269
p156685	v1946
p262074	v2474
p114729	v652
p127499	v58
p227873	v1115
p13049	v246
p27185	v546
p153241	v1914
p184487	v1128
p52157	v945
p24010	v486
p116693	v1303
p211319	v2313
p89571	v1398
p48145	v858
p26664	v533
p13816	v276
p96761	v1429
p156630	v1946
p148030	v1886
p280139	v2520
p129786	v473
p72526	v1161
p171268	v1505
p22063	v467
p2265	v46
p198999	v2160
p114450	v5
p244939	v780
p55248	v1009
p157595	v1960
p172345	v185
p215149	v1020
p80737	v1287
p95185	v1325
p172968	v188
p179754	v211
p141297	v87
p145525	v94
p245294	v783
p234105	v2363
p198462	v2146
p36703	v676
p23880	v486
p216369	v1986
p181850	v238
p81007	v888
p110320	v332
p11893	v203
p37807	v700
p187928	v308
p265216	v188
p76409	v1232
p143887	v1843
p26348	v525
p128447	v1723
p91037	v1413
p233118	v339
p229763	v594
p274059	v309
p237792	v621
p115477	v1597
p175161	v188
p148419	v1886
p83072	v1320
p107336	v1522
p194912	v372
p260167	v2473
p119237	v714
p52	v4
p107178	v261
p70943	v1153
p111253	v357
p207541	v2292
p108697	v285
p24835	v498
p212509	v1843
p53351	v972
p163544	v2014
p49766	v886
p82495	v1309
p105711	v196
p240881	v2275
p183857	v269
p129301	v1726
p247848	v1723
p23832	v486
p129989	v1728
p41213	v763
p20506	v460
p181853	v238
p24363	v489
p30223	v578
p15372	v334
p249823	v1441
p265458	v188
p9229	v173
p248254	v2409
p133068	v1751
p263231	v173
p287263	v2573
p144105	v1843
p157420	v1959
p187243	v296
p278707	v616
p146055	v1863
p21737	v462
p213117	v1472
p222785	v188
p285268	v2529
p215537	v1030
p243227	v2401
p209327	v2296
p286771	v2557
p72534	v1161
p24014	v486
p86950	v1372
p8649	v158
p203408	v690
p41568	v462
p72966	v368
p89528	v1397
p9119	v173
p166156	v2056
p117608	v20
p101296	v1494
p12100	v209
p6529	v108
p21539	v462
p64462	v1096
p27416	v550
p165627	v2051
p200699	v2177
p175990	v188
p199073	v2160
p235121	v352
p155585	v1484
p151403	v1897
p156778	v1946
p4881	v87
p78935	v1232
p92453	v1415
p182711	v251
p60576	v181
p44528	v800
p54035	v985
p99012	v95
p256570	v2442
p221136	v186
p52421	v954
p194446	v370
p105727	v196
p210235	v2308
p251003	v1816
p224642	v1096
p23557	v483
p176011	v188
p98026	v1459
p275610	v2514
p80113	v1234
p38815	v714
p52553	v957
p166217	v2056
p78218	v1232
p78000	v1232
p34138	v632
p83601	v1325
p272478	v275
p197406	v1201
p117798	v1627
p167191	v2062
p154701	v1928
p109027	v1538
p42880	v785
p215921	v2330
p131254	v1325
p50985	v916
p195684	v1180
p9214	v173
p207159	v1324
p102315	v166
p148977	v1887
p2579	v51
p49281	v873
p200533	v2176
p74400	v1193
p147072	v534
p72225	v352
p267396	v211
p75770	v1231
p11496	v193
p8122	v140
p92068	v1415
p288455	v2205
p239660	v1576
p39055	v719
p171528	v2087
p150694	v1896
p176213	v188
p4070	v69
p55794	v1018
p122565	v43
p160972	v1986
p105953	v1511
p29416	v188
p162808	v2010
p19423	v444
p159402	v1971
p175690	v188
p277458	v2516
p203482	v690
p220939	v2341
p183404	v1122
p30612	v578
p248306	v2409
p108594	v284
p248600	v811
p104817	v188
p261612	v2474
p240950	v2275
p125602	v1705
p231210	v2360
p91103	v1413
p179715	v210
p269951	v578
p25449	v509
