v1881	vInt.Sym.Wikis
v1327	vAIAIWorkshops
v1326	vICTAI
v49	vACMGreatLakesSymposiumonVLSI
v2240	vLecturesonFinancialMathematics:DiscreteAssetPricing
v48	vGILJahrestagung
v1734	vAST
v1735	vSEAMS
v1732	vHBU
v1733	vICSE()
v1730	vICNC
v1731	vWMMP
v2179	vJIT
v2178	vORInsight
v2171	viJIM
v2170	vSIAMJournalonOptimization
v2173	viJOE
v2172	viJET
v2175	vJ.ElectronicImaging
v2174	vEuropeanTransactionsonTelecommunications
v2177	vJORS
v2176	vEJIS
v2005	vPAAMS
v2004	vPRIMIUM
v2007	vDESRSIT
v2006	vWS-REST
v2001	vCompIMAGE
v2000	vNISCO
v2003	vADHOCNETS
v2002	vQuantumComm
v2009	vIMCSIT
v2008	vDESRIST
v521	vSSTD
v520	vSPIN
v523	vSTOC
v522	vSSDBM
v525	vTLCA
v524	vTARK
v527	vWebD
v526	vVR
v529	vSEA
v528	vWADS
v1679	vDPM/SETOP
v1678	vESA()
v89	vSIGCSE
v88	vSoftwareEngineering
v85	vPPOPP
v84	vPOPL
v87	vSAC
v86	vRECOMB
v81	vPEPM
v80	vPDP
v83	vPublicKeyCryptography
v82	vPervasive
v1453	vCSCW
v1452	vBIOSIG
v1451	vASM
v1450	vSIBGRAPI
v1109	vINFORMSJournalonComputing
v1108	vIndustrialManagementandDataSystems
v1455	vEMISA
v1454	vEDOC
v1105	vInternationalJournalofSoftwareEngineeringandKnowledgeEngineering
v1104	vI.J.RoboticRes.
v1107	vInf.Manag.Comput.Security
v1106	vIJWIS
v1101	vInt.J.ImageGraphics
v1100	vInternationalJournalofComputerVision
v1103	vIJMSO
v1102	vInt.J.Inf.Sec.
v1581	vACCV()
v1580	vAAAI
v1583	vACRI
v1582	vACG
v419	vACISP
v418	vAAIM
v1587	vAdvancedFunctionalProgramming
v1586	vArtificialEvolution
v415	vFuzzySystemsinBioinformaticsandComputationalBiology
v414	vCognitiveTechnologies
v417	vAAECC
v416	vACMSoutheastRegionalConference
v411	vPatternRecognitionusingNeuralandFunctionalNetworks
v410	vBio-inspiredAlgorithmsfortheVehicleRoutingProblem
v413	vSemanticDigitalLibraries
v412	vSocialSemanticWeb
v1071	vEIT
v1070	vIWOCA
v1073	vIVIC
v1072	vLANC
v1075	vFGIT
v1074	vNAS
v1077	vAICI
v1076	vCloudCom
v1079	ve-Forensics
v1078	vWISM
v730	vDMIN
v731	vDNA
v732	vACMSymposiumonDocumentEngineering
v733	vDOLAP
v734	vDigitalRightsManagementWorkshop
v735	vDSOM
v736	vECOOP
v737	vEC-TEL
v738	vEC-Web
v739	vEdutainment
v1299	vAsianTestSymposium
v1298	vASWC
v1295	vAPSEC
v1294	vAPLAS
v1297	vASIACRYPT
v1296	vIEEESymposiumonComputerArithmetic
v1291	vAGILE
v1290	vACSAC
v1293	vALGOSENSORS
v1292	vAICT
v2284	vEuroPKI
v1857	vTGC
v1856	vTAMODIA
v1855	vIceTAL
v1854	vTAICPART
v1853	vSwSTE
v1852	vSWAT
v1851	vSUTC/UMC
v1850	vStringology
v1859	vTYPES
v1858	vTIME
v648	vADHOC-NOW
v649	vADMA
v644	vISCAPDCCS
v645	vRelMiCS
v646	vACIVS
v647	vADBIS
v640	vZukunftIngenieurwissenschaften
v641	vACIS-ICIS
v642	vARES
v643	vIEEESCC
v1923	vUbiMob
v1922	vBMEI
v398	vT.HiPEAC
v399	vRobotica
v1927	vICITS
v1926	vIWRT
v1925	vMobiMedia
v1924	vICISP
v392	vMemeticComputing
v393	vIJDCF
v390	vPsychNologyJournal
v391	vMathematicalSocialSciences
v396	vSynthese
v397	vI.J.BifurcationandChaos
v394	vRevued'IntelligenceArtificielle
v395	vT.PetriNetsandOtherModelsofConcurrency
v2342	vAusgezeichneteInformatikdissertationen
v2343	vTAV-WEB
v2340	vFutureGenerationGrids
v2341	vCognitiveScience
v2346	vICMI-MLMI
v2347	vIEA/AIE()
v2344	vGIS-IWGS
v2345	vDCNET/OPTICS
v2348	vISAAC()
v2349	vElectronicColloquiumonComputationalComplexity(ECCC)
v2580	vIJISSS
v2581	vIJARAS
v2582	vIJESMA
v2583	vIJGCMS
v2584	vIJICTHD
v2585	vIJISCRAM
v2586	vIJSSOE
v2587	vIJSSMET
v2588	vIJEHMC
v2589	vIJSSE
v266	vJournalofSystemsArchitecture-EmbeddedSystemsDesign
v267	vIEEEJournalonSelectedAreasinCommunications
v264	vJ.Cryptology
v265	vJ.ParallelDistrib.Comput.
v262	vJ.Inf.Sci.Eng.
v263	vJ.Log.Algebr.Program.
v260	vJETC
v261	vJ.Funct.Program.
v268	vJ.Symb.Comput.
v269	vJournalofSystemsandSoftware
v1699	vGMP
v1698	vGIScience
v497	vNOSSDAV
v496	vNDSS
v917	vSECRYPT
v69	vUNISCON
v68	vISQED
v67	vICSP
v66	vISPEC
v65	vInformatiktage
v64	vIFM
v499	vPLDI
v498	vPERSUASIVE
v1345	vPDCAT
v60	vICEIS
v2168	vCommunicationsinStatistics-SimulationandComputation
v2169	vScienceandEngineeringEthics
v2162	vJIDM
v2163	vInt.J.SoftwareandInformatics
v2160	vSystems&ControlLetters
v2161	vJ.NonlinearScience
v2166	vAdvancesinComplexSystems
v2167	vFiniteFieldsandTheirApplications
v2164	vSIAMJ.ImagingSciences
v2165	vSIAMJ.ControlandOptimization
v886	vOTMWorkshops
v887	vOTMConferences()
v884	vOOPSLACompanion
v885	vOOPSLA
v882	vNGITS
v883	vNPAR
v880	vMSWiM
v881	vNEWAN
v888	vPaCT
v889	vPADS
v2016	vDBKDA
v2017	vAPWCS
v2014	vLREC
v2015	vSemanticProcessingofLegalTexts
v2012	vIEEEIA
v2013	vTheDARPAUrbanChallenge
v2010	vIITSI
v2011	vIESA
v2018	vIRFC
v2019	vSeCOWorkshop
v1664	vKHelP
v1665	vECMFA
v1666	vECOOPWorkshops
v1667	vWEWST
v1660	vDNIS
v1661	vDSN
v92	vSTACS
v93	vTACAS
v90	vSODA
v91	vSOFSEM
v96	vTLDI
v97	vVLSIDesign
v94	vTAMC
v95	vTCC
v98	vVMCAI
v99	vWA
v1668	vECRTS
v1669	vEDBT/ICDTWorkshops
v1448	vIEEEReal-TimeSystemsSymposium
v1449	vSWPM
v1118	vJournalofComputerSecurity
v1119	vJ.DiscreteAlgorithms
v1116	vJ.BioinformaticsandComputationalBiology
v1117	vJournalofBiomedicalInformatics
v1114	vInteractingwithComputers
v1115	vJournalofApproximationTheory
v1112	vI.J.Comput.Appl.
v1113	vITA
v1110	vInformation&SoftwareTechnology
v1111	vInteractions
v468	vICB
v469	vICCS()
v1590	vAIMSA
v1591	vAISC/MKM/Calculemus
v1596	vPacificVis
v1597	vAPWeb
v1594	vANTS
v1595	vAOSE
v460	vGECCO(Companion)
v461	vGraphicsInterface
v462	vHCI()
v463	vHPDC
v464	vHypertext
v465	vIbPRIA
v466	vICAIL
v467	vICALP()
v1062	vADT
v1063	vTPCTC
v1060	vSIN
v1061	vCCIW
v1066	vSIGDIALConference
v1067	vAutomotiveUI
v1064	vSBMF
v1065	vAMW
v1068	vMEDES
v1069	vIHCI
v723	vDEXA
v722	vDEBS
v721	vDBPL
v720	vDaWaK
v727	vDIMVA
v726	vDigitalIdentityManagement
v725	vDGCI
v724	vAlgorithmicsofLargeandComplexNetworks
v1683	vEuro-ParWorkshops
v729	vDescriptionLogics
v728	vDiscoveryScience
v1288	vCIT()
v1289	vIEEEICCI
v1286	vAdvancesinComputerEntertainmentTechnology
v1287	vCGIV
v1284	vAConciseIntroductiontoMultiagentSystemsandDistributedArtificialIntelligence
v1285	vOn-ChipNetworks
v1282	vIntroductoryTilingTheoryforComputerGraphics
v1283	vReadingandWritingtheElectronicBook
v1280	vTheDatacenterasaComputer:AnIntroductiontotheDesignofWarehouse-ScaleMachines
v1281	vFaultTolerantComputerArchitecture
v1840	vSIGMETRICS
v1841	vSIROCCO
v1842	vSITIS
v1843	vSMC
v1844	vShapeModelingInternational
v1845	vSNPD
v1846	vSpatialCognition
v1847	vSPLC
v1848	vSecurityProtocolsWorkshop
v1849	vSSPR/SPR
v659	vAPPROX-RANDOM
v658	vAPNOMS
v657	vAMT
v656	vALT
v655	vAIRS
v654	vICAPS
v653	vAINA
v652	vAINAWorkshops
v651	vAI*IA
v650	vAIED
v1444	vDAMP
v1445	vIEEEInternationalWorkshoponRapidSystemPrototyping
v1446	vIEEEReal-TimeandEmbeddedTechnologyandApplicationsSymposium
v1447	vRTCSA
v1440	vIOLTS
v1441	vISDA
v385	vSecurityandCommunicationNetworks
v384	vTransactionsonDataPrivacy
v387	vAdHoc&SensorWirelessNetworks
v386	vTRETS
v381	vIJSSCI
v380	vKnowledgeEng.Review
v383	vJ.EmbeddedComputing
v382	vTransactionsonComputationalScience
v1443	vPLAS
v389	vAnnalsOR
v388	vDiscreteOptimization
v1938	vTCQ
v1939	vIMTIC
v1934	vMTSR
v1935	vIDC
v1936	vDCAI
v1937	vNOMS
v1930	vVSTTE
v1931	vHAIS()
v1684	vEuro-Par()
v1933	vPQCrypto
v1437	vICPP
v1953	vETVC
v2379	vInt.J.SystemsScience
v2378	vIMAJ.Math.Control&Information
v2377	vIJES
v2376	vIJITM
v2375	vIJISCM
v2374	vIJICT
v1685	vEvoApplications()
v2372	vIJEH
v2371	vIJMTM
v2370	vIJEB
v2579	vIJITN
v2578	vIJMCMC
v2575	vIJSKD
v2574	vIJEA
v2577	vIJMHCI
v1955	veHealth
v2571	vIJAPUC
v2570	vIJANTTI
v2573	vIJDSST
v2572	vIJATS
v271	vKnowl.-BasedSyst.
v270	vKnowl.Inf.Syst.
v273	vMathematicalStructuresinComputerScience
v272	vMath.Program.
v275	vIEEENetwork
v274	vMach.Vis.Appl.
v277	vNeuralNetworks
v276	vNetworks
v279	vIJPEDS
v278	vOper.Res.Lett.
v1673	vHighPerformanceGraphics
v1592	vAMDO
v1593	vAdaptiveMultimediaRetrieval
v1672	vEGC(bestofvolume)
v2489	vInteligenciaArtificial,RevistaIberoamericanadeInteligenciaArtificial
v2488	viNetSec
v2481	vperspeGKtive
v2480	vCNSM
v2483	vLASERSummerSchool
v2482	vFM+AM
v2485	vICWUS
v2484	vICFHR
v2487	vPromise
v2486	vDESIRE
v1598	vArgMAS
v1599	vASIAN
v2157	vIJGHPC
v1670	vEDCC
v2155	vLanguageResourcesandEvaluation
v2154	vEng.Appl.ofAI
v2153	vJ.Graphics,GPU,&GameTools
v2152	vExperimentalMathematics
v2151	vIJACI
v2150	vRevueInternationaledeGéomatique
v2159	vSchedaeInformaticae
v2158	vJ.RigaTechnicalUniversity
v2395	vAICS
v2394	vACL(StudentResearchWorkshop)
v2397	vANTSConference
v2396	vANNIIP
v2391	vMCV
v2390	vMICAI(SpecialSessions)
v2393	vACL(ShortPapers)
v2392	vACL
v2399	vComputersandGames
v2398	vBMVC
v1677	vErshovMemorialConference
v891	vPerCom
v890	vPDPTA
v893	vPrivacyEnhancingTechnologies
v892	vPerComWorkshops
v895	vPODC
v894	vECML/PKDD()
v897	vTestCom/FATES
v896	vPPDP
v899	vRAID
v898	vPVM/MPI
v2023	vCAMAD
v2022	vICSI()
v2021	vMMCS
v2020	vISARCS
v2027	vIPCAI
v2026	vHotSWUp
v2025	vMBEES
v2024	vDMO
v2029	vSoCC
v2028	vCOM.Geo
v63	vICA
v1610	vAspectsofNaturalLanguageProcessing
v1613	vBusinessProcessManagementWorkshops
v1612	vConcurrency,Compositionality,andCorrectness
v1615	vIJCAR
v1614	vBPM(Demos)
v1617	vCAINE
v1616	vCAEPIA
v1619	vCARDIS
v1618	vBMMDS/EMMSAD
v2556	vIJeC
v62	vICQT
v1439	vINFORSID
v1438	vICPPWorkshops
v1129	vMultimediaSyst.
v1128	vMobileInformationSystems
v1123	vJ.Intell.Inf.Syst.
v1122	vJournalofIntelligentandFuzzySystems
v1121	vJournalofGeographicalSystems
v1120	vJ.Exp.Theor.Artif.Intell.
v1127	vJournalofVisualizationandComputerAnimation
v1126	vJournalofQuantitativeLinguistics
v1125	vJournalofObjectTechnology
v1124	vInt.J.onDigitalLibraries
v479	vIEA/AIE
v478	vICWE
v473	vICML
v472	vICLP
v471	vICIAR
v470	vICCBR
v477	vICSE
v476	vICSECompanion
v475	vICS
v474	vICOST
v1729	vICMS
v1728	vICMLC
v1059	vQuaCon
v1058	vICCCI
v1057	vADMI
v1056	vBrainInformatics
v1055	vLORI
v1054	vNordSec
v1053	vMobiSec
v1052	vNursingInformatics
v1051	vFOMI
v1050	vMIE
v1545	vVirtualReality
v1544	vUserModel.User-Adapt.Interact.
v1547	vNumericalAlgorithms
v1546	vStatisticsandComputing
v1541	vSoftwareQualityJournal
v1540	vOperatingSystemsReview
v1543	vUniversalAccessintheInformationSociety
v1542	vT.Aspect-OrientedSoftwareDevelopmentVI
v1549	vDiscreteEventDynamicSystems
v1548	vSIAMJ.ScientificComputing
v718	vDASFAAWorkshops
v719	vDATE
v716	vDynD
v717	vDaMoN
v714	vDAC
v715	vDAGM-Symposium
v712	vESA
v713	vSecurityandManagement
v710	vCSR
v711	vCSREAEE
v1691	vFOIS
v1999	vNICSO
v1690	vFMCO
v668	vConceptualModeling:FoundationsandApplications
v669	vEfficientAlgorithms
v1693	vFSKD
v662	vASAP
v663	vASSETS
v660	vAPPT
v661	vAPWeb/WAIMWorkshops
v666	vAVSS
v667	vBIOCOMP
v664	vATVA
v665	vAustralasianConferenceonArtificialIntelligence
v1692	vFPL
v1695	vGCC
v1948	vJAC
v1941	vJURIX
v1940	vI-USED
v1943	vISSSE
v1942	vTAMoCo
v1945	vCPA
v1944	vLAPTEC
v1947	vFIS
v1946	vWCNC
v1694	vGAMEON
v2368	vIJKM
v2369	vIJHPCN
v2360	vIEEETransactionsonCommunications
v2361	vIEEETrans.EvolutionaryComputation
v2362	vIEEETrans.VLSISyst.
v2363	vMicroelectronicsReliability
v2364	vDigitalSignalProcessing
v2365	vStatisticalMethodsandApplications
v2366	vFinanceandStochastics
v2367	vInternetMathematics
v2568	vIJAL
v2569	vIJALR
v2566	vIJAEIS
v2567	vIJAGR
v2564	vIJHISI
v2565	vIJAEC
v1697	vGIJahrestagung
v2563	vIJISP
v1442	vWorkshoponMembraneComputing
v2561	vInt.J.ofAppliedMetaheuristicComputing
v288	vSIAMJournalofAppliedMathematics
v289	vSIAMJ.Comput.
v284	vPersonalandUbiquitousComputing
v285	vRoboticsandAutonomousSystems
v286	vRandomStruct.Algorithms
v287	vSci.Comput.Program.
v280	vParallelComputing
v281	vPerform.Eval.
v282	vPatternRecognition
v283	vPatternRecognitionLetters
v1696	vGraphDrawing
v2498	vITRS
v2499	vFIT
v2492	vComputerArchitectureLetters
v2493	vCLEIElectron.J.
v2490	vAIMagazine
v2491	vComputingandInformatics
v2496	vPAR
v2497	vIWS
v2494	vComput.Sci.Inf.Syst.
v2495	vUNIF
v2140	vManufacturing&ServiceOperationsManagement
v2141	vOrganizationScience
v2142	vERCIMNews
v2143	vIJCCBS
v2144	vHumanFactors
v2145	vTACCESS
v2146	vIJBIC
v2147	vInformaticsineducation
v2148	vJ.Visualization
v2149	vComputational&MathematicalOrganizationTheory
v2386	vIJDMMM
v2387	vOperationalResearch
v2384	vJ.DigitalForensicPractice
v2385	vInt.J.ComputerIntegratedManufacturing
v2382	vInt.J.SemanticComputing
v2383	vIEEETransactionsonInformationForensicsandSecurity
v2380	vIJITSA
v2381	vISManagement
v2388	vLPAR(Dakar)
v2389	vInt.Conf.onMembraneComputing
v868	vMiddleware
v869	vCalculemus/MKM
v864	vMFCS
v865	vMobileHCI
v866	vMICAI
v867	vMICCAI()
v860	vLPNMR
v861	vMATES
v862	vMensch&Computer
v863	vMDAI
v2038	ve-Energy
v2039	vC&T
v2034	vImageProcessing:AlgorithmsandSystems
v2035	vVisualInformationProcessing
v2036	vITP
v2037	ve-Engery
v2030	vICUMT
v2031	vRED
v2032	vINTRUST
v2033	vVDA
v1790	vProstateCancerImaging
v1602	vCOIN@AAMAS&AAAI
v1603	vAAMAS-OAMAS
v1600	vABZ
v1601	vAMEC/TADA
v1606	vInformatikinRechtundVerwaltung
v1607	vAlgorithmsandApplications
v1604	vCOIN@AAMAS&IJCAI&MALLOW
v1605	vAVI
v1608	vEssaysinMemoryofAmirPnueli
v1609	vFieldsofLogicandComputation
v1791	vMultimediaInformationRetrieval
v1428	vFMCAD
v1429	vFSKD()
v1422	vEMS
v1423	vCCA
v1420	vICETC
v1421	vPACCS
v1426	vDICTA
v1427	vECOWS
v1424	vCIKM-PAVLAD
v1425	vCONIELECOMP
v914	vSDLForum
v447	vDevelopmentsinLanguageTheory
v444	vDDECS
v445	vD.GO
v910	vSC-GCE
v911	vSC-WORKS
v440	vDAIS
v913	vSC-WHPCF
v918	vInternationalSemanticWebConference
v919	vSenSys
v448	vDSL
v449	vPBFT
v1048	vCSEDU()
v1049	vAMCIS/SIGeBIZ
v1793	vMMM-ACNS
v1738	vFormalAspectsinSecurityandTrust
v1739	vIntelligentInformationProcessing
v1040	vSIGMAP
v1041	vICTIR
v1042	vFormalTheoriesofInformation
v1043	vWINSYS
v1044	vMOBILIGHT
v1045	vAMMA
v1046	vPSATS
v1047	vNanoNet
v1556	vSIGecomExchanges
v1557	vTrans.MLDM
v1554	vSIGCSEBulletin
v1555	vIEEE-RITA
v1552	vSwarmIntelligence
v1553	vMathematicsinComputerScience
v1550	vICGAJournal
v1551	vSignal,ImageandVideoProcessing
v1558	vTLT
v1559	vPeer-to-PeerNetworkingandApplications
v709	vCSL
v708	vCSCWD
v701	vCONCUR
v700	vCOMPSAC()
v703	vCOST/Conference
v702	vCOSIT
v705	vCRIWG
v704	vCP
v707	vCSC
v706	vCRYPTO
v1134	vPresence
v1135	vJ.Scheduling
v1136	vSIGACTNews
v1137	vSimulation
v1130	vMath.Oper.Res.
v1131	vMultimediaToolsAppl.
v1132	vNucleicAcidsResearch
v1133	vNeuralComputation
v1138	vScientificProgramming
v1139	vSoftw.Test.,Verif.Reliab.
v2606	vIJIDE
v675	vCIAO!/EOMAS
v674	vCAIP
v677	vCANS
v676	vCALCO
v671	vSemanticsandAlgebraicSpecification
v670	vGraphTheory,ComputationalIntelligenceandThought
v673	vBPM
v672	vBIS(Workshops)
v679	vCASES
v678	vCASC
v1646	vScientificVisualization:AdvancedConcepts
v1647	vSimilarity-BasedClustering
v1644	vCSCLP
v1402	vSERVICESI
v1958	vEDM
v1645	vCSREAEEE
v1952	vIS-EDU
v1642	vCOSTSchool(Vietri)
v1950	vSECURWARE
v1951	vSLE
v1956	vGridNets
v1957	vEPOS
v1954	vEMNLP
v1643	vCOSTConference(Prague)
v1640	vCOMPSAC
v1641	vCOSTTrainingSchool
v2559	vIJABIM
v2558	vIJEIS
v2553	vIJITWE
v2552	vIJBDCN
v2551	vIJTHI
v2550	vIJVPLE
v2557	vIJEGR
v1404	vBIFE
v2555	vIJEBR
v2554	vIJDET
v299	vIEEETrans.Computers
v298	vTAP
v297	vACMTrans.AsianLang.Inf.Process.
v296	vACMTransactionsonAlgorithms
v295	vTACO
v294	vSoftw.,Pract.Exper.
v293	vSoftwareProcess:ImprovementandPractice
v292	vSoftComput.
v291	vJournalofSoftwareMaintenance
v290	vSimulationModellingPracticeandTheory
v1405	vBCI
v1792	vMMB/DFT
v1737	vICSOC/ServiceWaveWorkshops
v2603	vIJNCR
v2602	vIJSIR
v2601	vIJSITA
v2600	vIJAVET
v2607	vIJEP
v1932	vFunandGames
v2605	vIJISMD
v2604	vIJKSS
v2609	vIJDLDC
v2608	vIJDLS
v1893	vFUN
v879	vMSV
v878	vMSR
v877	vFOSD
v876	vMoDELS
v875	vMobiDE
v874	vMOBICOM-CoRoNet
v873	vMOBICOM
v872	vMMNS
v871	vACMMultimedia
v870	vMLDMPosters
v2049	vIEEEConf.onIntelligentSystems
v2048	vLOFT
v1892	vKES-AMSTA()
v2041	vSSIRI
v2040	vICSAP
v2043	vLATINCRYPT
v2042	vCOMPENG
v2045	vMOL
v1656	vDiagrams
v2047	vMediaForensicsandSecurity
v2046	vSTEP
v1789	vMLMI
v1651	vDASFAA()
v1639	vCOMOD
v1638	vCOMAD
v1637	vCNSR
v1636	vCommunicationsandMultimediaSecurity
v1635	vCMMR
v1634	vCMMR/ICAD
v1633	vCLUSTER
v1632	vCLIMAXI
v1631	vCLIMAIX
v1630	vCLEF(NotebookPapers/LABs/Workshops)
v23	vCPAIOR
v22	vCIDR
v21	vCICLing
v20	vCHIExtendedAbstracts
v27	vDASFAA
v26	vCT-RSA
v25	vCSMR
v24	vCSEE&T
v2373	vIJMR
v29	vEACL(Demos)
v28	vEACL
v1389	vICST
v1388	vICONS
v907	vSBCCI
