v3116	vTradingAgents
v5783	vIAS()
v5782	vFront.Neuroinform.
v5781	vComputation
v443	vDCOSS
v4568	vACL/IJCNLP
v4569	vACL/IJCNLP(StudentResearchWorkshop)
v4564	vHotWireless@MobiCom
v4565	vMeMeA
v4566	vAdvancesinSocialMediaAnalysis
v4567	vIEEETrans.ImageProcessing
v4560	vCLOSER(SelectedPapers)
v4561	vESaaSA@CLOSER
v4562	vBJET
v4563	vDSP
v1916	vCoNEXT
v1917	vAutonomics
v1914	vOZCHI
v1915	vBIOSTEC(SelectedPapers)
v1912	vWorldCongressonEngineering(SelectedPapers)
v1913	vElectronicVoting
v1910	vMontereyWorkshop
v1911	vMoMM
v1918	vSCSS()
v1919	vEIAT/IETA
v7228	vMapMPSoC/SCOPES
v3518	vHandbookofVisualDisplayTechnology
v3519	vPL-Grid
v3514	vInt.J.ComputerAssistedRadiologyandSurgery
v3515	vIEEETrans.NeuralNetw.LearningSyst.
v3516	vICSTTrans.MobileCommunicationsApplications
v3517	vICSTTrans.AmbientSystems
v3510	vICSTTrans.SecuritySafety
v3511	vICSTTrans.e-Educatione-Learning
v3512	vESANN
v3513	vCIS
v2179	vJIT
v2178	vORInsight
v2171	viJIM
v2170	vSIAMJournalonOptimization
v2173	viJOE
v2172	viJET
v2175	vJ.ElectronicImaging
v2174	vEuropeanTransactionsonTelecommunications
v2177	vJORS
v2176	vEJIS
v7521	vNegativeQuantumChannels
v7520	vSemanticsinMobileSensing
v7523	vMobilePlatformSecurity
v7522	vEngineersEngagingCommunity:WaterandEnergy
v7525	vAnEasyPathtoConvexAnalysisandApplications
v7524	vHumanitarianEngineering
v7527	vInformationTheoryandRateDistortionTheoryforCommunicationsandCompression
v7526	vRFIDSecurityandPrivacy
v7529	vEngineeringEthics:Peace,Justice,andtheEarth,SecondEdition
v7528	vEngineeringThermodynamicsandstCenturyEnergyProblems
v6690	vGFHEU
v6691	vTinyToCS
v6692	vADHOC-NOWWorkshops
v6693	vASSURE@ICSE
v6694	vCSD@ICSE
v6695	vGSI
v6696	vCOMPUTE
v6697	vEurographics(DirkBartzPrize)
v6698	vCISIS-ICEUTE
v6699	vPhyCS
v6928	vCPSM@ICSM
v6929	vHotPlanet@SIGCOMM
v6078	vWOA@AI*IA
v6079	vESSEM@AI*IA
v6074	vIxD&A
v6075	vWNACP@NLDB
v6076	vAIC@AI*IA
v6077	vAIBP@AI*IA
v6070	vUncertaintyQuantificationinComputationalFluidDynamics
v6071	vXSEDE
v6072	vFET
v6073	vCICSyN
v89	vSIGCSE
v88	vSoftwareEngineering
v85	vPPOPP
v84	vPOPL
v87	vSAC
v86	vRECOMB
v81	vPEPM
v80	vPDP
v83	vPublicKeyCryptography
v82	vPervasive
v5644	vSecureCloudComputing
v5101	vERPFuture
v5100	vCogSci
v1136	vSIGACTNews
v1137	vSimulation
v1130	vMath.Oper.Res.
v5104	vDataCleaning:APracticalPerspective
v5570	vSPECOM
v5571	vHotWeb
v5572	vSocialNetworks
v5573	vSmartModelingandSimulationforComplexSystems
v5574	vFTfJP@ECOOP
v1132	vNucleicAcidsResearch
v5576	vSPIT
v5577	vSPIT/IPC
v5578	vREFSQWorkshops
v5579	vICHI
v1133	vNeuralComputation
v4999	vIEEE/ACMTransactionsonAudio,Speech&LanguageProcessing
v649	vADMA
v4995	vAlgorithmsfromandforNatureandLife
v4994	vStatisticalModelsforDataAnalysis
v4997	vJ.Systems&ControlEngineering
v4996	vClassificationandDataMining
v4991	vSemProM
v4990	vResource-AdaptiveCognitiveProcesses
v4993	vUbiquitousDisplayEnvironments
v4992	vTheLanguageGrid
v4195	vTheAnswerMachine
v4194	vEnergy-EfficientSchedulingunderDelayConstraintsforWirelessNetworks
v4197	vOntheEfficientDeterminationofMostNearNeighbors
v4191	vServiceOrientationinHolonicandMulti-AgentManufacturingControl
v4190	vIntelligentToolsforBuildingaScientificInformationPlatform
v4192	vActivityTheoryinHCI
v4199	vCyberForaging:BridgingMobileandCloudComputing
v4198	vPlanningwithMarkovDecisionProcesses:AnAIPerspective
v398	vT.HiPEAC
v399	vRobotica
v7216	vAIDE@AI*IA
v392	vMemeticComputing
v393	vIJDCF
v390	vPsychNologyJournal
v391	vMathematicalSocialSciences
v396	vSynthese
v397	vI.J.BifurcationandChaos
v394	vRevued'IntelligenceArtificielle
v395	vT.PetriNetsandOtherModelsofConcurrency
v3976	vBASYS
v3977	vDIGITEL
v3974	vIntelligentVehiclesSymposium
v2342	vAusgezeichneteInformatikdissertationen
v2343	vTAV-WEB
v2341	vCognitiveScience
v2346	vICMI-MLMI
v2347	vIEA/AIE()
v2344	vGIS-IWGS
v2345	vDCNET/OPTICS
v3972	vSBRN
v2348	vISAAC()
v2349	vElectronicColloquiumonComputationalComplexity(ECCC)
v3973	vViC
v4223	vWICSA
v6610	vTIA
v4221	vWODA
v4220	vInteractionbetweenCompilersandComputerArchitectures
v4227	vResearchingtheFutureinInformationSystems
v4226	vPP
v4225	vICAT/EGVE/EuroVR
v4224	vWICSA/ECSACompanionVolume
v4229	vVSMM
v4228	vRTNS
v6612	vEquilibriumComputation
v6613	vQuantitativeModels:ExpressivenessandAnalysis
v6614	vComputationalCounting
v6615	vTyping,AnalysisandVerificationofHeap-ManipulatingPrograms
v6616	vStructureDiscoveryinBiology:Motifs,Networks&Phylogenies
v6617	vGameSemanticsandProgramVerification
v3165	vRCDL
v3164	vSIMBAD
v3167	vWISM()
v3166	vQASBA
v3161	vACCVWorkshops()
v3160	vECCTD
v3163	vCLIMA
v3162	vISRR
v3169	vSPLCWorkshops
v3168	vIWSEC(ShortPapers)
v1691	vFOIS
v1690	vFMCO
v1693	vFSKD
v1692	vFPL
v1282	vIntroductoryTilingTheoryforComputerGraphics
v1695	vGCC
v1346	vPOLICY
v1697	vGIJahrestagung
v1344	vPCM
v886	vOTMWorkshops
v887	vOTMConferences()
v884	vOOPSLACompanion
v885	vOOPSLA
v882	vNGITS
v883	vNPAR
v880	vMSWiM
v881	vNEWAN
v888	vPaCT
v889	vPADS
v6261	vAAAIFallSymposium:AdvancesinCognitiveSystems
v6260	vAAAIFallSymposium:BuildingRepresentationsofCommonGroundwithIntelligentAgents
v6263	vAAAIFallSymposium:VirtualHealthcareInteraction
v6262	vAAAIFallSymposium:TheUsesofComputationalArgumentation
v6265	vAAAIFallSymposium:MachineAggregationofHumanJudgment
v6264	vAAAIFallSymposium:QuestionGeneration
v6267	vWirtschaftsinformatik&Management
v6266	vEW
v6269	vWMNC
v6268	vBM-FA
v6485	vMobileHCI(Companion)
v6484	vInformingChemicalEngineeringDecisionswithData,Research,andGovernmentResources
v6487	vIJEBM
v6486	vIJBPIM
v6481	vI-ESA
v6480	vIIiX
v6483	vDesignofReconfigurableAntennasUsingGraphModels
v6482	vAdaptiveInteraction:AUtilityMaximizationApproachtoUnderstandingHumanInteractionwithTechnology
v6489	vMLA@ICMI
v6488	vMMRWHRI@ICMI
v1062	vADT
v1063	vTPCTC
v1060	vSIN
v1061	vCCIW
v1066	vSIGDIALConference
v1067	vAutomotiveUI
v1064	vSBMF
v5018	vAPSEC()
v5017	vMMBIA
v5016	vLWA
v5015	vDigitalHealth
v5014	vIISA
v5013	vCloudDb
v5012	vFIRE
v5011	vUCUI@CIKM
v5010	vComputerScienceEducation
v4768	vIFIPCAI
v4769	vIEEETrans.Communications
v4766	vSDNFNS
v4767	vSAOA@JAIIO
v4764	vMIKE
v4765	vMoVid@MMSys
v4762	vIEEETrans.ServicesComputing
v4763	vFUSION
v4760	vFinE-R@IROS
v4761	vICCWorkshops
v5909	vMIoT@Middleware
v5908	vDigitalHumanitiesQuarterly
v1288	vCIT()
v1289	vIEEEICCI
v1286	vAdvancesinComputerEntertainmentTechnology
v1287	vCGIV
v1284	vAConciseIntroductiontoMultiagentSystemsandDistributedArtificialIntelligence
v5902	vESTIMedia
v5905	vBQGT
v1283	vReadingandWritingtheElectronicBook
v5907	vHCOMP
v5906	vAFHA
v4508	vScalabilityChallengesinWebSearchEngines
v4509	vEntityResolutionintheWebofData
v4502	vGrammaticalInferenceforComputationalLinguistics
v4503	vSocialMediaandLibraryServices
v4500	vAutomaticDetectionofVerbalDeception
v4501	vBuildingaBetterWorldwithOurInformation:TheFutureofPersonalInformationManagement,Part
v4506	vEfficientQuadratureRulesforIlluminationIntegrals:FromQuasiMonteCarlotoBayesianMonteCarlo
v4507	vSocialSemanticWebMining
v4504	vSemanticMiningofSocialNetworks
v4505	vSmartphone-BasedReal-TimeDigitalSignalProcessing
v1221	vIT&People
v3758	vProductionEngineering
v3759	vWRS
v3756	vArchiveofFormalProofs
v3757	vIJCC
v3754	vIJSSC
v3755	vInt.J.SystemsAssuranceEngineeringandManagement
v3753	vIJGUC
v3750	vJ.PhilosophicalLogic
v3751	vIJMHeur
v1938	vTCQ
v1939	vIMTIC
v1934	vMTSR
v1935	vIDC
v1936	vDCAI
v1937	vNOMS
v1930	vVSTTE
v1931	vHAIS()
v1932	vFunandGames
v1933	vPQCrypto
v3284	vREVOTE
v3285	vRESC
v3286	vGreenComputingConference
v3287	vGreenCom
v3280	vECMR
v3281	vWOCN
v3282	vAutomata
v3283	vRESS
v3288	vMediaEval
v3289	vMathWikis
v3578	vMeta-LearninginComputationalIntelligence
v6825	vAdvancesinWebSemanticsI
v3577	vIntelligentVideoEventAnalysisandUnderstanding
v2489	vInteligenciaArtificial,RevistaIberoamericanadeInteligenciaArtificial
v2488	viNetSec
v2481	vperspeGKtive
v2480	vCNSM
v2483	vLASERSummerSchool
v2482	vFM+AM
v2485	vICWUS
v2484	vICFHR
v2486	vDESIRE
v2157	vIJGHPC
v2156	vJ.InternetServicesandApplications
v2155	vLanguageResourcesandEvaluation
v2154	vEng.Appl.ofAI
v2153	vJ.Graphics,GPU,&GameTools
v2152	vExperimentalMathematics
v2151	vIJACI
v2159	vSchedaeInformaticae
v2158	vJ.RigaTechnicalUniversity
v6824	vInt.J.IntelligentTransportationSystemsResearch
v7059	vLocalBinaryPatterns
v7058	vCMSEBA@MoDEMS
v7509	vICCPWorkshops
v7508	vDBCrowd
v7055	vCMSEBA@MoDELS
v7054	vEAIEndorsedTrans.WirelessSpectrum
v7057	vPSRC@MoDELS
v7056	vMDP@MoDELS
v7051	vAspect-OrientedRequirementsEngineering
v7050	vBdCloud
v7053	vDigCurV
v7052	vModelsandAlgorithmsforGenomeEvolution
v6908	vEncyclopediaofDataWarehousingandMining
v6909	vHAVE
v6678	vPOS@SAT
v6679	vSPS@SIGIR
v6676	vCIVVS
v6677	vWCICSS
v6674	vEUSFLATConf.
v6675	ve-ScienceWorkshops
v6672	vEAIEndorsedTrans.CloudSystems
v6673	vAStAWirtschafts-undSozialstatistischesArchiv
v6670	vMCG@Middleware
v6671	vIJBM
v6018	vErgo'IHM
v6019	vDySPAN
v6012	vFeedbackComputing
v6013	vAIST
v6010	vMLSP
v6011	vBusinessProcessManagementWorkshops()
v6016	vICAISC
v6017	vCMN
v6014	vEMNLP-CoNLLSharedTask
v6015	vJ.Num.Math.
v1545	vVirtualReality
v1544	vUserModel.User-Adapt.Interact.
v1547	vNumericalAlgorithms
v1546	vStatisticsandComputing
v1541	vSoftwareQualityJournal
v1540	vOperatingSystemsReview
v1543	vUniversalAccessintheInformationSociety
v6930	vProbabilisticGraphicalModels
v1549	vDiscreteEventDynamicSystems
v1548	vSIAMJ.ScientificComputing
v6932	vARTCom
v6935	vGSE
v6934	vSIRS
v6937	vCSTVA
v1444	vDAMP
v6936	vNANOCOM
v6104	vTFUZZ
v5598	vERMHCI@ICMI
v5599	vUMI@ICMI
v5596	vSAPA@INTERSPEECH
v4985	vPACT
v5594	vMLHPC@SC
v5595	vCOSN
v5592	vPyHPC@SC
v5593	vHiPCNA-PG@SC
v5590	vICSOFT-EA
v5591	vExaMPI@SC
v668	vConceptualModeling:FoundationsandApplications
v669	vEfficientAlgorithms
v1446	vIEEEReal-TimeandEmbeddedTechnologyandApplicationsSymposium
v4982	vPETShop@CCS
v662	vASAP
v663	vASSETS
v660	vAPPT
v661	vAPWeb/WAIMWorkshops
v666	vAVSS
v667	vBIOCOMP
v664	vATVA
v665	vAustralasianConferenceonArtificialIntelligence
v1263	vIntroductiontoWebometrics:QuantitativeWebResearchfortheSocialSciences
v5642	vIEEEWirelessCommun.Letters
v5643	vEuropeanDataProtection
v5864	vNOLCOS
v1524	vJournalofLogic,LanguageandInformation
v1523	vJ.NetworkSyst.Manage.
v5863	vPeerJComputerScience
v2368	vIJKM
v2369	vIJHPCN
v5860	vWICSACompanion
v2818	vCloudComp
v2819	vAFRICOM
v2360	vIEEETransactionsonCommunications
v2361	vIEEETrans.EvolutionaryComputation
v2362	vIEEETrans.VLSISyst.
v2363	vMicroelectronicsReliability
v2364	vDigitalSignalProcessing
v2365	vStatisticalMethodsandApplications
v2366	vFinanceandStochastics
v2367	vInternetMathematics
v4249	vICCSW
v4248	vCLUSTERWorkshops
v4241	vMedAlg
v4240	vIDCS
v4243	vHPCC-ICESS
v4242	vIberSPEECH
v4245	vSDA
v4244	vEASE
v4247	vEuroMed
v4246	vICGS/e-Democracy
v1266	vUnderstandingUser-WebInteractionsviaWebAnalytics
v5868	vBiomed.SignalProc.andControl
v5869	vIJAAC
v1267	vMarkovLogic:AnInterfaceLayerforArtificialIntelligence
v3143	vStatisticsisEasy!SecondEdition
v3142	vDataRepresentations,Transformations,andStatisticsforVisualReasoning
v3141	vAlgorithmsandSoftwareforPredictiveandPerceptualModelingofSpeech
v3140	vAdvancedMetasearchEngineTechnology
v3147	vManagingandMiningGraphData
v3144	vMulti-CoreCacheHierarchies
v1269	vInformationTheoryToolsforComputerGraphics
v2253	vUser-CenteredDataManagement
v7266	vBrainInformaticsandHealth
v7267	vCIBD
v7264	vDAMDID/RCDL
v7265	vVizSec
v7262	vVISUAL@EKAW
v7263	vEKAW(SatelliteEvents)
v6820	vBPM(IndustryTrack)
v7261	vWoDOOM@EKAW
v7268	vMOBIMEDIA
v7269	vICSthAnniversary
v868	vMiddleware
v869	vCalculemus/MKM
v864	vMFCS
v865	vMobileHCI
v866	vMICAI
v867	vMICCAI()
v860	vLPNMR
v861	vMATES
v862	vMensch&Computer
v863	vMDAI
v6249	vICT-EurAsia/CONFENIS
v6248	vFTXS
v6247	vSSIAI
v6246	vNVMSA
v6245	vESCPS@DATE
v6244	vCoSECivi
v6243	vrain-ComputerInterfaces
v6242	vSIGGRAPHAsiaHead-UpDisplaysandtheirApplications
v6241	vANT/SEIT
v6240	vDanaC@SIGMOD
v4591	vMLSDA@AUS-AI
v4590	vAIH+CARE@AUS-AI
v794	vICE-B
v4592	vCAMSAP
v792	vICECCS
v793	vICEIS()
v4597	vIEICEElectronicExpress
v1204	vComputersinIndustry
v4596	vInternationalEncyclopediaofStatisticalScience
v1048	vCSEDU()
v1049	vAMCIS/SIGeBIZ
v1738	vFormalAspectsinSecurityandTrust
v1739	vIntelligentInformationProcessing
v1736	vICSOCWorkshops
v1737	vICSOC/ServiceWaveWorkshops
v1042	vFormalTheoriesofInformation
v1735	vSEAMS
v1732	vHBU
v1733	vICSE()
v1046	vPSATS
v1731	vWMMP
v5291	vIIS
v5290	vAdaptiveBehaviour
v5293	vCurvesandSurfaces
v5924	vSeminalContributionstoInformationSystemsEngineering
v5923	vNETYS
v5922	vSRDSWorkshop
v5297	vICMMI
v5296	vDARS
v5299	vTheStructureofStyle
v5298	vInductiveDatabasesandConstraint-BasedDataMining
v5929	vTSTIP@COSIT
v5928	vCFIP/NOTERE
v1727	vICMLA
v4744	vSSN@ISWC
v4745	vCrowdSem
v4746	vIEEETrans.InformationTheory
v4747	vNoCArc@MICRO
v4740	vSSWS@ISWC
v4741	vSSN
v4742	vLDIE@ISWC
v4743	vNLP-DBPEDIA@ISWC
v4748	vIWANN
v4749	vTrustCom/BigDataSE/ISPA
v3774	vJoSS
v3775	vBulletinoftheEATCS
v3776	vIJAIP
v3777	vJ.LondonMath.Society
v3770	vIEEETechnol.Soc.Mag.
v3771	vHMD-PraxisWirtschaftsinform.
v3772	vIGTR
v3773	vJoSSR
v3778	vIJMIR
v3779	vInt.J.GeneralSystems
v5435	vPrivOn@ISWC
v5434	vISWCDevelopersWorkshop
v5437	vSSC@ISWC
v5436	vSWCS@ISWC
v5431	vACPR
v5430	vVPT@CAV
v5433	vInroads
v5432	vMindTrek
v5439	vMLMMI@ICML
v5438	vLISC@ISWC
v1958	vEDM
v1959	vICIG
v1952	vIS-EDU
v1950	vSECURWARE
v1951	vSLE
v1956	vGridNets
v1957	vEPOS
v1954	vEMNLP
v1955	veHealth
v4520	vAALTD@PKDD/ECML
v4521	vMUSE@PKDD/ECML
v4522	vDC@ECML/PKDD
v4523	vBMA
v4524	vInt.J.Control
v4525	vEE-LSDS
v4526	vTwinPeaks@RE
v4527	vJITRE
v4528	vRESuSy@RE
v4529	vRePa@RE
v3550	vBio-InspiredSelf-OrganizingRoboticSystems
v3551	vAAMASWorkshops
v3552	vSustainableInnovation
v3554	vSKG
v3555	vICESS
v3556	vCISIM
v1405	vBCI
v1406	vCAR
v2603	vIJNCR
v2602	vIJSIR
v2601	vIJSITA
v2600	vIJAVET
v2607	vIJEP
v2606	vIJIDE
v2605	vIJISMD
v2604	vIJKSS
v2609	vIJDLDC
v2608	vIJDLS
v1784	vDigitalMammography/IWDM
v7079	vMapInteract@GIS
v7078	vMELT@SIGSPATIAL
v7073	vEEPM@eGOV
v7072	vSSR
v7071	viNetSeC
v7070	vExploreDB@SIGMOD/PODS
v7077	vSIGSPATIALPhDWorkshop
v7076	vUDM@IJCAI
v7075	vDecisionAnalytics
v7074	vSoftwareEngineering&Management
v123	vBPSC
v6388	vVT@Middleware
v6389	vBUIS-Tage
v6382	vSecureSmartEmbeddedDevices,PlatformsandApplications
v6383	vContextinComputing
v6380	vCollaborativeDesignforEmbeddedSystems
v6381	vSimulatingKnowledgeDynamicsinInnovationNetworks
v6386	vSUMO
v6387	vMGC@Middleware
v6384	vCMBBE:Imaging&Visualization
v6385	vEISMC
v7381	vWOSP-C@ICPE
v7380	vAIMSG
v7383	vDataMiningandKnowledgeDiscoveryHandbook,nded.
v7382	vDataMiningandKnowledgeDiscoveryHandbook
v7385	vPG
v7384	vIWST
v7387	vEAIEndorsedTrans.SecuritySafety
v7386	vArgNLP
v7389	vRuSSIR
v7388	vCIS/RAM
v1526	vLOGIN
v1004	vRV
v1005	vInfoscale
v6931	vIEEETrans.Haptics
v5033	vBRACIS
v6654	vItalianNaturalLanguageProcessingwithinthePARLIProject
v6655	vICTS
v6656	vTTATT
v1007	vDRR
v6650	vPoPETs
v6651	vIssuesandChallengesinArtificialIntelligence
v6652	vNextFrontierinAgent-BasedComplexAutomatedNegotiation
v6653	vDecisionMaking
v1000	vSIES
v6658	vIPSJTrans.SystemLSIDesignMethodology
v6659	vPolTAL
v5034	vGreenCom/CPSCom
v1387	vBIBM
v1386	vMOBIWAC
v1385	vIMF
v1384	vESEM
v1383	vExaCt
v1002	vRecSys
v1381	vIWSOS
v1380	vMOMPES
v5036	viJEP
v1389	vICST
v1388	vICONS
v6030	vEmpoweringOpenandCollaborativeGovernance
v6031	vCollaborativeFinancialInfrastructureProtection
v6032	vEAIS
v6033	vCWIT
v6034	vSECITC
v6035	vAusCTW
v6036	vVorgehensmodelle
v6037	vMiddleware(IndustryTrack)
v6038	vMWNG@Middleware
v6039	vMiddleware(Posters&Demos)
v1563	vIEEET.Haptics
v1562	vITProfessional
v1561	vJ.IntegrativeBioinformatics
v1560	vOptimizationLetters
v1567	vAnnalsofGIS
v1566	vIJKESDP
v1565	vEarthScienceInformatics
v5609	vPPAM
v5606	vCIMSVP
v5607	vBigDataCongress
v5604	vISIP
v1568	vTOCT
v5602	vWebMedia
v5603	vADBIS(LocalProceedings)
v5600	vRFMIR@ICMI
v5601	vJ.IntelligentManufacturing
v1520	vInformationSystemsFrontiers
v600	vSoftwareandSystemModeling
v601	vSTTT
v602	vIEEETrans.CircuitsSyst.VideoTechn.
v603	vIEEETrans.Mob.Comput.
v604	vACMTrans.Softw.Eng.Methodol.
v605	vComputerSpeech&Language
v606	vIEEETransactionsonAudio,Speech&LanguageProcessing
v607	vFoundationsandTrendsinDatabases
v608	vIJCSA
v609	vISSE
v4267	vEAIN
v4266	vAT
v4265	vSeCOBook
v4264	vCUBE
v4263	vRO-MAN
v4262	vMUSIC
v4261	vCCGIDIS
v4260	vDB&IS(LocalProceedings)
v4269	vJCKBSE
v4268	vWISES
v6933	vAWeS@EuroSys
v3129	vDigitalImageProcessingforOphthalmology
v1260	viImage-BasedModelingofPlantsandTrees
v1261	vIntroductiontoLinguisticAnnotationandTextAnalytics
v3121	vRepresentationsandTechniquesforDObjectRecognitionandSceneInterpretation
v3120	vAShortIntroductiontoPreferences
v3123	vNetworkGames:Theory,Models,andDynamics
v3122	vAPrimeronMemoryConsistencyandCacheCoherence
v3125	vSearch-BasedApplications:AttheConfluenceofSearchandDatabaseTechnologies
v5961	vJTHTL
v3127	vUser-CenteredAgileMethods
v3126	vGeographicalDesign
v2834	vSOCS
v2835	vCMC
v2836	vISR/ROBOTIK
v2837	vDICTAP()
v2831	vLinguisticAnnotationWorkshop
v2832	vGraph-basedMethodsforNaturalLanguageProcessing
v2833	vEUROCON
v1264	vDependencyParsing
v2838	vBioinformatics[ISMB/ECCB]
v2839	vTERMGRAPH
v1265	vXMLRetrieval
v5965	vSIGMODPhDSymposium
v5964	vINISTA
v1268	vAGyrovectorSpaceApproachtoHyperbolicGeometry
v5786	vQRS
v5969	vWAIHCWS
v5968	vIHC
v688	vCIARP
v5780	vBDVA
v7248	vCloudCom-Asia
v7249	vRFIDSecAsia
v7244	vISSS/BPSC
v7245	vthInternationalConferenceonNetworkedComputingandAdvancedInformationManagement,-,,Seoul,Korea
v7246	vJ.ArtificialGeneralIntelligence
v7247	vCSEDU(SelectedPapers)
v7240	vProceedingsofIEEEVisualAnalyticsScience&Technology
v7241	vOpenSHMEM
v7242	vEWiLi
v7243	vNetWordS
v848	vK-CAP
v849	vKDDWorkshoponHumanComputation
v842	vICPC
v843	vIWSEC
v840	vIWDW
v841	vICEC
v846	vJISBD
v847	vJSSPP
v844	vIWSM/Mensura
v845	vJFLA
v7499	vParallelProgramming,ModelsandApplicationsinGridandPPSystems.
v590	vInt.J.WebServiceRes.
v591	vKI
v592	vJ.Log.Comput.
v593	vNaturalComputing
v594	vNeuralProcessingLetters
v595	vIEEETrans.PatternAnal.Mach.Intell.
v596	vParallelProcessingLetters
v597	vACMQueue
v598	vSIGMODRecord
v599	vIEEESoftware
v689	vCiE
v1714	vICAPP()
v1715	vICADL
v1716	vICAISC()
v1717	vICCAD
v1710	vHT
v1711	vHaifaVerificationConference
v1712	vIADISAC
v1713	vLVA/ICA
v1718	vICCHP()
v1719	vICEIS(SelectedPapers)
v6725	vWeb-KRM@CIKM
v907	vSBCCI
v450	vECMDA-FA
v1785	vMASCOTS
v453	vESWC
v452	vEPEW
v903	vSelectedAreasinCryptography
v454	vFinancialCryptography
v457	vFSE
v900	vRECOMB-CG
v4890	vEUSPN/ICTH
v4891	vFESCA
v4892	vSynCoP
v4893	vGCM@ICGT
v4894	vGHTC
v4895	vIEEEDesign&Test
v4896	vICS-CSR
v4897	vROBOT()
v4898	vESSLLILogic&CognitionWorkshop
v4899	vFCV
v4728	vCooperativeRobotsandSensorNetworks
v4729	vParallelArchitecturesandBioinspiredAlgorithms
v3712	vCEAS
v3713	vADBIS()
v3710	vPMAM
v3711	vGfKl
v3716	vPETS
v3717	vHotInterconnects
v3715	vWOCC
v3718	vGames
v3719	vComp.inBio.andMed.
v5413	vDependableandHistoricComputing
v5412	vTheoriesofProgrammingandFormalMethods
v5411	vCategoriesandTypesinLogic,Language,andPhysics
v5410	vComputation,Cooperation,andLife
v5417	vFromActiveDataManagementtoEvent-BasedSystemsandMore
v5416	vRainbowofComputerScience
v1976	vABiALS
v5414	vComputation,Logic,Games,andQuantumFoundations
v1978	vILC
v1979	vAPSCC
v5419	vAlgorithmicProbabilityandFriends
v5418	vInformationTheory,Combinatorics,andSearchTheory
v4098	vEMNLP-CoNLL
v4099	vDICTAP
v4090	vDSNWorkshops
v4091	vWCNCWorkshops
v4092	vAdvancesinComputerEntertainment
v4093	vVDAT
v4094	vMUSCLE
v4095	vPACLIC
v4096	vGREENS
v4097	vLivingMachines
v3828	vComputerAnalysisofHumanBehavior
v3829	vPrivacyOnline
v3824	vArchitectingtheInternetofThings
v3825	vTowardsanInformationTheoryofComplexNetworks
v3826	vHandbookofAugmentedReality
