v3116	vTradingAgents
v3549	vComputationalOptimization,MethodsandAlgorithms
v3504	vTheEvolutionofConceptualModeling
v2987	vGreySystems:T&A
v3822	vVisualAnalysisofHumans
v2438	vANCS
v2439	vCOCOA()
v3435	vTTC
v3434	vLFMTP
v3433	vPDMC
v3432	vINFINITY
v2928	vSIAMJ.Math.Analysis
v2929	vSIAMJ.AppliedDynamicalSystems
v2430	vWEBIST()
v2431	vWER
v2432	vWOA
v2433	vWPES
v2434	vWSE
v2435	vCEFP
v2436	vIPAW
v2437	vNordiCHI
v4379	vCVMP
v4378	vTADDS
v3548	vChaos-BasedCryptography
v4371	vSBGames
v2851	vMISQuarterlyExecutive
v4373	vADCS
v4372	vRSP
v4375	vLA-WEB
v4374	vISBAST
v4377	vTWAW
v4376	vShapingtheFutureofICTResearch
v1905	vLADS
v1904	vPPPJ
v1907	vGLOBECOM
v1906	vPSSE
v1901	vMoChArt
v1900	vECSA
v1903	vTbiLLC
v1902	vWAIFI
v2801	vCSNDSP
v1909	vICMB
v1908	vMobileResponse
v3590	vTabletops
v3591	vTheEngineeringofMixedRealitySystems
v2324	vACL/AFNLP(ShortPapers)
v2325	vCompSysTech
v2326	vICIRA()
v2327	vSIMPAR
v2320	vVLSI-SoC
v2321	vACL(SystemDemonstrations)
v2322	vRCIS
v2323	vDMS
v2800	vMUD
v3593	vLearninginCommunities
v2328	vACL/AFNLP(StudentResearchWorkshop)
v2329	vACL/AFNLP(SoftwareDemonstrations)
v3503	vCOMSNETS
v2867	vFutureInternet
v3501	vLAK
v3500	vECCE
v3507	vEDBT/ICDTArrayDatabasesWorkshop
v3506	vPAIS
v3505	vCSCL()
v2866	vAlgorithms
v3509	vIEEETrans.SystemsScienceandCybernetics
v3508	vHydrologyandEarthSystemSciences
v4209	vSESENA
v2865	vIJSE
v3965	vIPCAT
v2864	vIJICTRDA
v2803	vBPMN
v2863	vIJDTIS
v2862	vIJEEI
v248	vJASIST
v249	vJ.Complexity
v2854	vIEEETransactionsonSystems,Man,andCybernetics,PartB
v3846	vPrivacyinSocialNetworks
v2861	vIJCICG
v3913	vICEB
v240	vIngénieriedesSystèmesd'Information
v241	vInf.Syst.J.
v242	vit-InformationTechnology
v243	vImageVisionComput.
v244	vJ.ACM
v245	vJ.Algorithms
v246	vJ.AppliedLogic
v247	vJ.Autom.Reasoning
v2753	vIJCCI(ICFC-ICNC)
v2210	vEuropeanandChineseCognitiveStylesandTheirImpactonTeachingMathematics
v2211	vAdvancesinMulti-ObjectiveNatureInspiredComputing
v2212	vNon-StandardParameterAdaptationforExploratoryDataAnalysis
v2213	vInductiveInferenceforLargeScaleTextClassification
v2214	vCognition-DrivenDecisionSupportforBusinessIntelligence
v2215	vSystem-ErgonomicDesignofCognitiveAutomation
v2216	vEmotionalIntelligence
v2217	vUncertaintyApproachesforSpatialDataModelingandProcessing
v2218	vVisualComplexityandIntelligentComputerGraphicsTechniquesEnhancements
v2219	vSmartInformationandKnowledgeManagement
v2748	vFDL
v2749	vICARCV
v3349	vIEEECLOUD
v3348	vNETGAMES
v4393	vIEEET.VehicularTechnology
v3341	vInfoSecHiComNet
v3340	vCRiSIS
v3343	vICIAP()
v3342	vIWSC
v3345	vIVIC()
v3344	vFUZZ-IEEE
v3347	vVNC
v3346	vICAIS
v2694	vICPRContests
v2695	vACTSOC
v2696	vICT
v2697	vICWLWorkshops
v2690	vS-CUBEBook
v2691	vICCCN
v2692	vICCD
v2693	vICFP-WGP
v3598	vHuman-CenteredSoftwareEngineering
v2698	vDIPES/BICC
v2699	vIFIPInt.Conf.DigitalForensics
v2858	vTheComputerScienceJournalofMoldova
v4396	vLibraryTrends
v3599	vBrain-ComputerInterfaces
v4029	vEmergingdirectionsindatabasesystemsandapplications
v3526	vOrganicComputing
v2108	vJ.MobileMultimedia
v2109	vJ.Symb.Log.
v2104	vTOCE
v2105	vJ.HighSpeedNetworks
v2106	vInt.J.ITStandardsandStandardizationRes.
v2107	vJournalofMachineLearningResearch
v2100	vInformatica(Slovenia)
v2101	vInformationVisualization
v2102	vJ.Braz.Comp.Soc.
v2103	vACMJournalofExperimentalAlgorithmics
v3364	vICDMA
v3363	vRAM
v3362	vMTV
v3712	vCEAS
v2764	vINTERSPEECH
v3993	vEnablingIntelligencethroughMiddleware
v4238	vSLE(DoctoralSymposium)
v2937	vIJBPSCM
v2981	vJ.InformationSecurity
v3439	vIEEEGeosci.RemoteSensingLett.
v3369	vSSBSE
v3994	vStatisticalRelationalArtificialIntelligence
v4239	vNSPW
v3368	vDCFS
v4470	vAdvancesInDesignAndControl
v2936	vJCSE
v4471	vGraduateTextsInMathematics
v3164	vSIMBAD
v3438	vSwarmandEvolutionaryComputation
v536	vOSS
v537	vCIDM
v534	vXP
v535	vQoSA
v532	vWILF
v533	vWWIC
v530	vWETICE
v531	vCIAA
v1711	vHaifaVerificationConference
v538	vREFSQ
v539	vAIMS
v1488	vISCID()
v1489	vICCMS
v1480	vICDIM
v1481	vICEGOV
v1482	vATMOS
v1483	vHOST
v1484	vCISIS
v1485	vMobilityConference
v1486	vICAART()
v1487	vMALLOW
v1318	vGCB
v1319	vICAPR
v3996	vIJCCI(ECTA-FCTA)
v3658	vAAAISpringSymposium:SocialSemanticWeb:WhereWeb.MeetsWeb.
v1648	vNumericalValidationinCurrentHardwareArchitectures
v1649	vAlgorithmEngineering
v1310	vDALT
v1311	vDeLFI
v1312	vDEXAWorkshops
v1313	vDFN-ForumKommunikationstechnologien
v1314	vDFT
v1315	vDSD
v1316	vDS-RT
v1317	vEUROMICRO-SEAA
v1466	vMICRO
v1467	vNCA
v1464	vISPAN
v1465	vASE
v1462	vISMBS
v1463	vISORC
v1460	vICDCIT
v1461	vIPAS
v1468	vPanhellenicConferenceonInformatics
v1469	vQSIC
v3997	vIJCCI(SelectedPapers)
v4234	vMSW
v4298	vInternationalTeletrafficCongress
v1787	vMCBR-CDS
v2933	vAdv.SoftwareEngineering
v1786	vMIAR
v402	vBusiness&InformationSystemsEngineering
v403	vEncyclopediaofOptimization
v400	vNaturalLanguageEngineering
v401	vJ.FieldRobotics
v406	vToolsandApplicationswithArtificialIntelligence
v407	vIntelligentAgentsintheEvolutionofWebandApplications
v404	vMiningComplexData
v405	vIntelligentTextCategorizationandClustering
v408	vInhibitoryRulesinDataAnalysis
v409	vInnovativeApplicationsinDataMining
v1004	vRV
v1005	vInfoscale
v1006	vICHIT
v1007	vDRR
v1000	vSIES
v1001	vGEM
v1002	vRecSys
v1003	vVOTE-ID
v2932	vInt.J.ComputerGamesTechnology
v1008	vMUM
v1009	vICIW
v3859	vPRELUDEProject
v1788	vSTACOM/CESC
v2796	vICGSA
v4236	vVR/AR
v745	vERWorkshops
v744	vER
v747	vErlangWorkshop
v746	vECDL
v741	vEMMCVPR
v740	vEGOV
v743	vEPIA
v742	vEMSOFT
v749	vESAW
v748	vERSA
v446	vDILS
v915	vSecureDataManagement
v4237	vSNDS
v916	vSEC
v1260	viImage-BasedModelingofPlantsandTrees
v1261	vIntroductiontoLinguisticAnnotationandTextAnalytics
v1262	vExploratorySearch:BeyondtheQuery-ResponseParadigm
v1263	vIntroductiontoWebometrics:QuantitativeWebResearchfortheSocialSciences
v1264	vDependencyParsing
v1265	vXMLRetrieval
v1266	vUnderstandingUser-WebInteractionsviaWebAnalytics
v1267	vMarkovLogic:AnInterfaceLayerforArtificialIntelligence
v1268	vAGyrovectorSpaceApproachtoHyperbolicGeometry
v1269	vInformationTheoryToolsforComputerGraphics
v4247	vEuroMed
v443	vDCOSS
v3644	vICCA
v3645	vPSL
v3646	vISIT
v3647	vCultureandComputing
v3640	vMMCP
v912	vSC-HPRCTA
v3642	vCOMPSACWorkshops
v3643	vEuroPLoP
v4230	vISPECE
v441	vDBSec
v3648	vISAIM
v3649	vEESSMod
v4098	vEMNLP-CoNLL
v1868	vWFLP
v1869	vSOAR
v4099	vDICTAP
v1862	vWADT
v1863	vWAIM
v1860	vUTP
v1861	vVMV
v1866	vWBIR
v1867	vWEBIST(SelectedPapers)
v1864	vWAOA
v1865	vWAPCV
v4142	vBHI
v3454	vDataMining
v4140	vSTIA
v3957	vNetGCoop
v4146	vMensch&ComputerWorkshopband
v4147	vAsiaSim()
v3845	vDeepWebQueryInterfaceUnderstandingandIntegration
v4145	vICCSAWorkshops
v4155	vExpressive
v4148	vESSLLI
v4149	vICCI*CC
v3420	vIEEECommunicationsLetters
v3421	vElectr.J.Comb.
v2919	vIJSSS
v2918	vIJIDS
v3424	vIEEETrans.Automat.Contr.
v3425	vT.AffectiveComputing
v3426	ve-Informatica
v3427	vEmbeddedSystemsLetters
v2913	vIJOM
v2912	vIJTEM
v2911	vEURASIPJ.ImageandVideoProcessing
v2910	vEURASIPJ.InformationSecurity
v2917	vInt.J.DigitalMultimediaBroadcasting
v2916	vIJCEE
v2915	vIJFSA
v2914	vIJIMR
v4159	vCD-ARES
v4368	vMicrocontrollerProgrammingandInterfacingTexasInstrumentsMSP,PartI
v4369	vEuroITV
v4091	vWCNCWorkshops
v4362	vAnswerSetSolvinginPractice
v4363	vCircuitAnalysiswithMultisim
v4360	vArduinoMicrocontroller:ProcessingforEveryone!SecondEdition
v4361	vAdvancedCircuitSimulationUsingMultisimWorkbench
v4366	vRepresentationofMultiple-ValuedLogicFunctions
v3786	vIJICoT
v4364	vAtmelAVRMicrocontrollerPrimer,SecondEdition
v4365	vDataManagementintheCloud
v1916	vCoNEXT
v1917	vAutonomics
v1914	vOZCHI
v1915	vBIOSTEC(SelectedPapers)
v1912	vWorldCongressonEngineering(SelectedPapers)
v1913	vElectronicVoting
v1910	vMontereyWorkshop
v1911	vMoMM
v4094	vMUSCLE
v1918	vSCSS()
v1919	vEIAT/IETA
v4097	vLivingMachines
v2351	vGraphsandCombinatorics
v2350	vElektrotechnikundInformationstechnik
v2353	vInternationalJournalofInternetandEnterpriseManagement
v2352	vIETSoftware
v2355	vJournalofInterconnectionNetworks
v2354	vJournalofAppliedNon-ClassicalLogics
v2357	vIPEC
v2356	vNewGenerationComput.
v2359	vEVOL/IWPSE
v2358	vProgrammingandComputerSoftware
v4272	vIJCB
v2597	vIJKDB
v2596	vIJITPM
v2595	vIJISSC
v2594	vIJHCR
v2593	vIJHCITP
v2592	vIJBIR
v2591	vIJDST
v2590	vWileyInterdisc.Rew.:DataMiningandKnowledgeDiscovery
v3514	vInt.J.ComputerAssistedRadiologyandSurgery
v3515	vIEEETrans.NeuralNetw.LearningSyst.
v3516	vICSTTrans.MobileCommunicationsApplications
v3517	vICSTTrans.AmbientSystems
v3510	vICSTTrans.SecuritySafety
v3511	vICSTTrans.e-Educatione-Learning
v2599	vIJSDS
v2598	vIJORIS
v1321	vICEBE
v3431	vNeuroImage
v40	vEvoBIO
v904	vSAFECOMP
v3430	vIEEETrans.Biomed.CircuitsandSystems
v1323	vICNC()
v2080	vArtificialLife
v2926	vSIAMJ.MatrixAnalysisApplications
v259	vACMJournalofEducationalResourcesinComputing
v258	vJ.DatabaseManag.
v2927	vIEEETrans.Comput.Intellig.andAIinGames
v253	vJ.Comb.Optim.
v252	vJournalofComputationalNeuroscience
v251	vJournalofComputationalChemistry
v250	vJournalofComputer-AidedMolecularDesign
v257	vJ.Comb.Theory,Ser.B
v256	vJ.Comb.Theory,Ser.A
v255	vJ.Comput.Syst.Sci.
v254	vJournalofCircuits,Systems,andComputers
v2925	vSIAMReview
v1327	vAIAIWorkshops
v2922	vComp.Math.MethodsinMedicine
v1326	vICTAI
v2923	vMultiscaleModeling&Simulation
v2773	vTAPAS
v49	vACMGreatLakesSymposiumonVLSI
v2771	vCCE
v2240	vLecturesonFinancialMathematics:DiscreteAssetPricing
v2777	vEGVE/EuroVR/VEC
v2776	vVRIPHYS
v2775	vVCBM
v48	vGILJahrestagung
v2779	vNPH
v2778	vEGVE/ICAT/EuroVR
v1734	vAST
v4266	vAT
v3358	vAICCSA
v1735	vSEAMS
v4282	vInternationalSemanticWebConference(Posters&Demos)
v4305	vMLINI
v3352	vECIS
v1732	vHBU
v3350	vEISIC
v3351	vMBIA
v3356	vICHIT()
v3357	vMobileDataManagement()
v3354	vPSIVT()
v1733	vICSE()
v4075	vNAACL(Demos)
v1730	vICNC
v3808	vChapmanandHall/CRCstudiesininformaticsseries
v1731	vWMMP
v4070	vSPLC()
v4071	vICWIT
v4223	vWICSA
v4186	vMobilecommunicationsseries
v3799	vComputationalscienceandengineering
v4468	vCGC
v4370	vPLM
v2179	vJIT
v2178	vORInsight
v2171	viJIM
v2170	vSIAMJournalonOptimization
v2173	viJOE
v2172	viJET
v2175	vJ.ElectronicImaging
v2174	vEuropeanTransactionsonTelecommunications
v2177	vJORS
v2176	vEJIS
v3288	vMediaEval
v4078	vCBMI
v4079	vSocProS()
v4261	vCCGIDIS
v4221	vWODA
v3456	vSemantice-Science
v4301	vEUMAS
v2005	vPAAMS
v2004	vPRIMIUM
v2007	vDESRSIT
v2006	vWS-REST
v2001	vCompIMAGE
v2000	vNISCO
v2003	vADHOCNETS
v2002	vQuantumComm
v4220	vInteractionbetweenCompilersandComputerArchitectures
v2009	vIMCSIT
v2008	vDESRIST
v3436	vIJWA
v3984	vIEEM
v4227	vResearchingtheFutureinInformationSystems
v521	vSSTD
v520	vSPIN
v523	vSTOC
v522	vSSDBM
v525	vTLCA
v524	vTARK
v527	vWebD
v526	vVR
v529	vSEA
v528	vWADS
v3571	vInformationSecurityandCryptography
v4384	vSRIIGlobalConference
v4226	vPP
v3483	vUCC
v4187	vTheFraunhoferIESESeriesonSoftwareandSystemsEngineering
v4386	vSWQD
v3573	vEATCSMonographsonTheoreticalComputerScience
v1679	vDPM/SETOP
v1678	vESA()
v89	vSIGCSE
v88	vSoftwareEngineering
v85	vPPOPP
v84	vPOPL
v87	vSAC
v86	vRECOMB
v81	vPEPM
v80	vPDP
v83	vPublicKeyCryptography
v82	vPervasive
v1453	vCSCW
v1452	vBIOSIG
v1451	vASM
v1450	vSIBGRAPI
v1109	vINFORMSJournalonComputing
v1108	vIndustrialManagementandDataSystems
v1455	vEMISA
v1454	vEDOC
v1105	vInternationalJournalofSoftwareEngineeringandKnowledgeEngineering
v1104	vI.J.RoboticRes.
v1107	vInf.Manag.Comput.Security
v1106	vIJWIS
v1101	vInt.J.ImageGraphics
v1100	vInternationalJournalofComputerVision
v1103	vIJMSO
v1102	vInt.J.Inf.Sec.
v1581	vACCV()
v1580	vAAAI
v1583	vACRI
v1582	vACG
v419	vACISP
v418	vAAIM
v1587	vAdvancedFunctionalProgramming
v1586	vArtificialEvolution
v415	vFuzzySystemsinBioinformaticsandComputationalBiology
v414	vCognitiveTechnologies
v417	vAAECC
v416	vACMSoutheastRegionalConference
v411	vPatternRecognitionusingNeuralandFunctionalNetworks
v410	vBio-inspiredAlgorithmsfortheVehicleRoutingProblem
v413	vSemanticDigitalLibraries
v412	vSocialSemanticWeb
v1071	vEIT
v1070	vIWOCA
v1073	vIVIC
v1072	vLANC
v1075	vFGIT
v1074	vNAS
v1077	vAICI
v1076	vCloudCom
v1079	ve-Forensics
v1078	vWISM
v3980	vIMR
v4460	vBIBMWorkshops
v730	vDMIN
v731	vDNA
v732	vACMSymposiumonDocumentEngineering
v733	vDOLAP
v734	vDigitalRightsManagementWorkshop
v735	vDSOM
v736	vECOOP
v737	vEC-TEL
v738	vEC-Web
v739	vEdutainment
v4463	vSBCARS
v1299	vAsianTestSymposium
v1298	vASWC
v1295	vAPSEC
v1294	vAPLAS
v1297	vASIACRYPT
v1296	vIEEESymposiumonComputerArithmetic
v1291	vAGILE
v1290	vACSAC
v1293	vALGOSENSORS
v1292	vAICT
v3198	vHPSR
v3630	vACSD/PetriNetsWorkshops
v3633	vCSCW(Companion)
v2284	vEuroPKI
v3635	vPCS
v3634	vParallelToolsWorkshop
v3574	vComputationalMusicScience
v3636	vIntelligentNarrativeTechnologies
v3639	vPAAMS(SpecialSessions)
v3638	vCLA
v3989	vGIS-SSO
v3988	vGIS-DMG
v1857	vTGC
v1856	vTAMODIA
v1855	vIceTAL
v1854	vTAICPART
v1853	vSwSTE
v1852	vSWAT
v1851	vSUTC/UMC
v1850	vStringology
v4057	vGraphMining:Laws,Tools,andCaseStudies
v4228	vRTNS
v1859	vTYPES
v1858	vTIME
v4205	vSparseRepresentationsforRadarwithMATLABExamples
v648	vADHOC-NOW
v649	vADMA
v3502	vAudioMostlyConference
v644	vISCAPDCCS
v645	vRelMiCS
v646	vACIVS
v647	vADBIS
v640	vZukunftIngenieurwissenschaften
v641	vACIS-ICIS
v642	vARES
v643	vIEEESCC
v4206	vMakingClaims
v4179	vGRAPHITE
v4178	vMeCBIC
v4177	vIJEOE
v2997	vIEEEIntelligentInformaticsBulletin
v4175	vIEEETrans.ConsumerElectronics
v4174	vEntropy
v4173	vSEARIS
v4172	vISCO
v4171	vIScIDE
v2996	vAdv.InternetofThings
v4357	vApproachestoLegalRationality
v4356	vEpistemologyversusOntology
v4355	vJudgementandtheEpistemicFoundationofLogic
v4354	vSpecialSciencesandtheUnityofScience
v4353	vTheRealism-AntirealismDebateintheAgeofAlternativeLogics
v4203	vGazingatGames:AnIntroductiontoEyeTrackingControl
v3189	vServiceWaveWorkshops
v3188	vVECIMS
v3187	vSBPM
v3186	vSFSW
v3185	vOSDI
v3184	vMCM
v3183	vSOSE
v3182	vMAICS
v3181	vICTCS
v3180	vEANN/AIAI()
v4195	vTheAnswerMachine
v4194	vEnergy-EfficientSchedulingunderDelayConstraintsforWirelessNetworks
v4197	vOntheEfficientDeterminationofMostNearNeighbors
v4196	vSynthesisLecturesonSoftwareEngineering
v3749	vSocialChoiceandWelfare
v3748	vIJCNDS
v4193	vSynthesisLecturesonCommunications
v4192	vActivityTheoryinHCI
v3745	vIJAISC
v3744	vIJMEI
v3747	vPLoSComputationalBiology
v3746	vJ.ArtificialSocietiesandSocialSimulation
v3741	vIJIDSS
v2999	vStud.Inform.Univ.
v3743	vTheoryofComputing,GraduateSurveys
v3742	vIJITCC
v1923	vUbiMob
v1922	vBMEI
v398	vT.HiPEAC
v399	vRobotica
v1927	vICITS
v1926	vIWRT
v1925	vMobiMedia
v1924	vICISP
v392	vMemeticComputing
v393	vIJDCF
v390	vPsychNologyJournal
v391	vMathematicalSocialSciences
v396	vSynthese
v397	vI.J.BifurcationandChaos
v394	vRevued'IntelligenceArtificielle
v395	vT.PetriNetsandOtherModelsofConcurrency
v3976	vBASYS
v3977	vDIGITEL
v4466	vICT-EurAsia
v3974	vIntelligentVehiclesSymposium
v4176	vEur.J.Control
v2342	vAusgezeichneteInformatikdissertationen
v2343	vTAV-WEB
v2340	vFutureGenerationGrids
v2341	vCognitiveScience
v2346	vICMI-MLMI
v2347	vIEA/AIE()
v2344	vGIS-IWGS
v2345	vDCNET/OPTICS
v3972	vSBRN
v2348	vISAAC()
v2349	vElectronicColloquiumonComputationalComplexity(ECCC)
v3973	vViC
v2580	vIJISSS
v2581	vIJARAS
v2582	vIJESMA
v2583	vIJGCMS
v2584	vIJICTHD
v2585	vIJISCRAM
v2586	vIJSSOE
v2587	vIJSSMET
v2588	vIJEHMC
v2589	vIJSSE
v3291	vTEAR
v3290	vISWC
v3297	vHistoryofNordicComputing
v3296	vMSM/MUSE
v3295	vCICSYN
v3294	vLISS()
v266	vJournalofSystemsArchitecture-EmbeddedSystemsDesign
v267	vIEEEJournalonSelectedAreasinCommunications
v264	vJ.Cryptology
v265	vJ.ParallelDistrib.Comput.
v262	vJ.Inf.Sci.Eng.
v263	vJ.Log.Algebr.Program.
v260	vJETC
v261	vJ.Funct.Program.
v268	vJ.Symb.Comput.
v269	vJournalofSystemsandSoftware
v2904	vEURASIPJ.Audio,SpeechandMusicProcessing
v2905	vJ.Comp.SystemsNetworksCommunications
v2906	vEURASIPJ.BioinformaticsandSystemsBiology
v2907	vInt.J.Math.MathematicalSciences
v2900	vEURASIPJ.Emb.Sys.
v2901	vJAMIA
v2902	vEURASIPJ.WirelessComm.andNetworking
v2903	vEvolutionaryIntelligence
v2908	vAdv.ArtificialIntellegence
v2909	vAdv.Bioinformatics
v1699	vGMP
v1698	vGIScience
v497	vNOSSDAV
v3367	vDEIS
v3366	vAFL
v3365	vKSE
v496	vNDSS
v2768	vNESEA
v2769	vBCB
v3361	vSIGAda
v3360	vNCMA
v917	vSECRYPT
v2765	vIntelligentEnvironments(Workshops)
v2766	vIntelligentEnvironments
v2767	vAMIF
v2760	vISSPIT
v2761	vDASIP
v2762	vIHI
v2763	vHotNets
v3165	vRCDL
v2841	viWIGP
v3167	vWISM()
v3166	vQASBA
v3161	vACCVWorkshops()
v69	vUNISCON
v3163	vCLIMA
v2840	vHOR
v68	vISQED
v3169	vSPLCWorkshops
v2843	vHPC
v3568	vSystemsEngineering
v67	vICSP
v2842	vSecCo
v4313	vGameStudies
v66	vISPEC
v2845	vInternationalJournalofShapeModeling
v65	vInformatiktage
v2844	vIBMJournalofResearchandDevelopment
v64	vIFM
v2847	vADS
v499	vPLDI
v2846	vJAMDS
v3191	vRFID-TA
v498	vPERSUASIVE
v3134	vFundamentalsofObjectDatabases:Object-OrientedandObject-RelationalDesign
v1345	vPDCAT
v60	vICEIS
v3407	vARIST
v3513	vCIS
v2168	vCommunicationsinStatistics-SimulationandComputation
v2169	vScienceandEngineeringEthics
v2162	vJIDM
v2163	vInt.J.SoftwareandInformatics
v2160	vSystems&ControlLetters
v2161	vJ.NonlinearScience
v2166	vAdvancesinComplexSystems
v2167	vFiniteFieldsandTheirApplications
v2164	vSIAMJ.ImagingSciences
v2165	vSIAMJ.ControlandOptimization
v4319	vIEEETransactionsonIndustrialElectronics
v4216	vURAI
v3569	vSocialNetworkDataAnalytics
v886	vOTMWorkshops
v887	vOTMConferences()
v884	vOOPSLACompanion
v885	vOOPSLA
v882	vNGITS
v883	vNPAR
v880	vMSWiM
v881	vNEWAN
v4217	vUniDL
v888	vPaCT
v889	vPADS
v2016	vDBKDA
v2017	vAPWCS
v2014	vLREC
v2015	vSemanticProcessingofLegalTexts
v2012	vIEEEIA
v2013	vTheDARPAUrbanChallenge
v2010	vIITSI
v2011	vIESA
v2018	vIRFC
v2019	vSeCOWorkshop
v3452	vWeb.&SemanticWeb
v4041	vEmbeddedSystemsDesignwiththeAtmelAVRMicrocontroller:PartI
v4214	vESSDERC
v1664	vKHelP
v1665	vECMFA
v4312	vIBIS
v1666	vECOOPWorkshops
v4235	vMESOCA
v1667	vWEWST
v3179	vMCPR
v4040	vFoundationsofDataQualityManagement
v4215	vICACCI
v1660	vDNIS
v4340	vCambridgestudiesinadvancedmathematics
v1661	vDSN
v92	vSTACS
v93	vTACAS
v90	vSODA
v91	vSOFSEM
v96	vTLDI
v97	vVLSIDesign
v94	vTAMC
v95	vTCC
v98	vVMCAI
v99	vWA
v1668	vECRTS
v1669	vEDBT/ICDTWorkshops
v2745	vTQC
v4047	vArticulatorySpeechSynthesisfromtheFluidDynamicsoftheVocalApparatus
v4212	vI-SEMANTICS(Posters&Demos)
v2742	vCriticalInfrastructureProtection
v2743	vICWF
v3561	vQualityofServiceinWirelessNetworksOverUnlicensedSpectrum
v2806	vSCIS
v1448	vIEEEReal-TimeSystemsSymposium
v1449	vSWPM
v1118	vJournalofComputerSecurity
v1119	vJ.DiscreteAlgorithms
v1116	vJ.BioinformaticsandComputationalBiology
v1117	vJournalofBiomedicalInformatics
v1114	vInteractingwithComputers
v1115	vJournalofApproximationTheory
v1112	vI.J.Comput.Appl.
v1113	vITA
v1110	vInformation&SoftwareTechnology
v1111	vInteractions
v2661	vAWIC
v4213	vLA-NMR
v2660	vCOIN@AAMAS&MALLOW
v4418	vKMO
v2663	vBTWWorkshops
v3560	vMobilePlatformsandDevelopmentEnvironments
v4419	vPARA
v468	vICB
v469	vICCS()
v1590	vAIMSA
v1591	vAISC/MKM/Calculemus
v1596	vPacificVis
v1597	vAPWeb
v1594	vANTS
v1595	vAOSE
v460	vGECCO(Companion)
v461	vGraphicsInterface
v462	vHCI()
v463	vHPDC
v464	vHypertext
v465	vIbPRIA
v466	vICAIL
v467	vICALP()
v1062	vADT
v1063	vTPCTC
v1060	vSIN
v1061	vCCIW
v1066	vSIGDIALConference
v1067	vAutomotiveUI
v1064	vSBMF
v1065	vAMW
v1068	vMEDES
v1069	vIHCI
v4211	vBioVis
v4300	vBCI(Local)
v4410	vAdvancedDynamicModelingofEconomicandSocialSystems
v3779	vInt.J.GeneralSystems
v723	vDEXA
v722	vDEBS
v721	vDBPL
v720	vDaWaK
v727	vDIMVA
v726	vDigitalIdentityManagement
v725	vDGCI
v724	vAlgorithmicsofLargeandComplexNetworks
v1683	vEuro-ParWorkshops
v729	vDescriptionLogics
v728	vDiscoveryScience
v2920	vIJICST
v3848	vCombinatorialOptimization-MethodsandApplications
v3328	vAAL
v1288	vCIT()
v1289	vIEEEICCI
v1286	vAdvancesinComputerEntertainmentTechnology
v1287	vCGIV
v1284	vAConciseIntroductiontoMultiagentSystemsandDistributedArtificialIntelligence
v1285	vOn-ChipNetworks
v1282	vIntroductoryTilingTheoryforComputerGraphics
v1283	vReadingandWritingtheElectronicBook
v1280	vTheDatacenterasaComputer:AnIntroductiontotheDesignofWarehouse-ScaleMachines
v1281	vFaultTolerantComputerArchitecture
v3622	vSCCompanion
v3623	vINCOS
v3620	vSGDA
v3621	vICARA
v3626	vLDH
v3627	vLHD
v3624	vTRECVID
v3625	vISSA
v3998	vIJCCI(NCTA)
v3999	vICPRAM()
v3628	vKRHC
v3629	vPARA()
v1840	vSIGMETRICS
v1841	vSIROCCO
v1842	vSITIS
v1843	vSMC
v1844	vShapeModelingInternational
v1845	vSNPD
